"name","pos","team","PassAttempts","Completions","PassingYards","PassTDs","INTs","carries","rushYards","rushTDs","receptions","receivingYards","receivingTDs","halfFantasyPoints","fullFantasyPoints","recProps"
"Tim Patrick","WR","DET",0,0,0,0,0,0,0,0,3.2,40.4,0.3,7.4,9," -- Under UD Receiving Yards of 47.5"
"JuJu Smith-Schuster","WR","KC",0,0,0,0,0,0,0,0,1.7,27.3,0.1,4.2,5," -- Under UD Receptions of 3.5 -- Under UD Receiving Yards of 39.5 -- Under UD Fantasy Score of 8.05"
"Robert Woods","WR","HOU",0,0,0,0,0,0,0,0,1.9,18.6,0.2,4,5," -- Under UD Receptions of 3.5 -- Under UD Receiving Yards of 39.5 -- Under UD Fantasy Score of 7.75"
"Adonai Mitchell","WR","IND",0,0,0,0,0,0.2,1.2,0,1.7,28.1,0.2,5,5.8," -- Over PP Receiving Yards of 17.5"
"Tyler Boyd","WR","TEN",0,0,0,0,0,0,0,0,3,29.1,0.2,5.6,7.1,""
"River Cracraft","WR","MIA",0,0,0,0,0,0,0,0,1.2,11.3,0.1,2.3,2.9," -- Under UD Receiving Yards of 28.5"
"Ricky Pearsall","WR","SF",0,0,0,0,0,0.7,4.8,0,1.9,21.3,0.3,5.4,6.3," -- Under UD Receiving Yards of 43.5"
"Amari Cooper","WR","BUF",0,0,0,0,0,0,0,0,3.2,42,0.3,7.6,9.2,""
"Kayshon Boutte","WR","NE",0,0,0,0,0,0,0,0,2.2,27.5,0.2,5.1,6.2,""
"Tyler Lockett","WR","SEA",0,0,0,0,0,0,0,0,2.8,34.8,0.3,6.7,8.1," -- Under UD Receiving Yards of 62.5 -- Over PP Receiving Yards of 20.5"
"Jalen Nailor","WR","MIN",0,0,0,0,0,0,0,0,0.9,8.1,0.2,2.5,2.9," -- Under UD Receiving Yards of 50.5"
"Tylan Wallace","WR","BAL",0,0,0,0,0,0,0,0,1.3,15.6,0.2,3.4,4.1," -- Under UD Fantasy Score of 6.45"
"Van Jefferson","WR","PIT",0,0,0,0,0,0,0,0,1.3,22.5,0.2,4.1,4.8,""
"Ray-Ray McCloud","WR","ATL",0,0,0,0,0,0.8,6.7,0,3.8,41,0.2,7.9,9.8," -- Under UD Receiving Yards of 52.5"
"Darius Slayton","WR","NYG",0,0,0,0,0,0,0,0,1.9,29.9,0.2,5.1,6.1,""
"Andrei Iosivas","WR","CIN",0,0,0,0,0,0,0,0,2.5,28.1,0.3,5.9,7.1," -- Under UD Receptions of 5.5 -- Under UD Receiving Yards of 70.5"
"Mike Woods","WR","CLE",0,0,0,0,0,0,0,0,1.9,21.3,0.2,4.3,5.2,""
"Terrace Marshall","WR","LV",0,0,0,0,0,0,0,0,0.6,8.1,0.1,1.7,2," -- Under UD Receiving Yards of 33.5"
"Devin Duvernay","WR","JAC",0,0,0,0,0,1,4.6,0,2,15.5,0.2,4.2,5.2," -- Under UD Receiving Yards of 29.5"
"Olamide Zaccheaus","WR","WAS",0,0,0,0,0,0,0,0,2.2,27.9,0.2,5.1,6.2,""
"Jahan Dotson","WR","PHI",0,0,0,0,0,0.2,1.6,0,0.9,9.8,0.1,2.2,2.6," -- Under UD Receiving Yards of 53.5"
"Joshua Palmer","WR","LAC",0,0,0,0,0,0,0,0,3.4,49.6,0.3,8.5,10.2,""
"Devaughn Vele","WR","DEN",0,0,0,0,0,0,0,0,2.6,30.3,0.2,5.5,6.8,""
"Allen Lazard","WR","NYJ",0,0,0,0,0,0,0,0,3,24.6,0.4,6.4,7.9," -- Under UD Receiving Yards of 61.5"
"Demarcus Robinson","WR","LAR",0,0,0,0,0,0,0,0,2.3,33.1,0.4,6.9,8," -- Under UD Receiving Yards of 55.5 -- Over PP Receiving Yards of 15.5"
"Brandin Cooks","WR","DAL",0,0,0,0,0,0,0,0,2.5,23.9,0.3,5.4,6.7,""
"Sterling Shepard","WR","TB",0,0,0,0,0,0.5,5.6,0,3.3,27,0.1,5.5,7.2," -- Under UD Receiving Yards of 36.5"
"Tommy Tremble","TE","CAR",0,0,0,0,0,0,0,0,2.4,21.5,0.3,5.1,6.3,""
"Trey McBride","TE","ARI",0,0,0,0,0,0,0,0,6.2,63.9,0.3,11.3,14.4," -- Under PP Fantasy Score of 17"
"Tucker Kraft","TE","GB",0,0,0,0,0,0,0,0,2.9,36.1,0.5,8.1,9.5,""
"Juwan Johnson","TE","NO",0,0,0,0,0,0,0,0,3.8,39.4,0.3,7.6,9.5,""
"Cole Kmet","TE","CHI",0,0,0,0,0,0,0,0,3.4,30,0.3,6.5,8.2,""
"Sam LaPorta","TE","DET",0,0,0,0,0,0,0,0,4.5,51.1,0.5,10.4,12.6,""
"Travis Kelce","TE","KC",0,0,0,0,0,0,0,0,5.2,47.9,0.4,9.8,12.4," -- Under UD Receiving Yards of 52.5 -- Under PP Fantasy Score of 12.5"
"Dalton Schultz","TE","HOU",0,0,0,0,0,0,0,0,3.7,34,0.3,7.1,8.9,""
"Kylen Granson","TE","IND",0,0,0,0,0,0,0,0,0.6,10.2,0.2,2.5,2.8,""
"Chigoziem Okonkwo","TE","TEN",0,0,0,0,0,0,0,0,3.3,31.5,0.2,6,7.7,""
"Jonnu Smith","TE","MIA",0,0,0,0,0,0,0,0,5.3,56.7,0.5,11.3,14,""
"George Kittle","TE","SF",0,0,0,0,0,0,0,0,6,79.9,0.6,14.6,17.6,""
"Dalton Kincaid","TE","BUF",0,0,0,0,0,0,0,0,4,43.6,0.3,8.2,10.2,""
"Hunter Henry","TE","NE",0,0,0,0,0,0,0,0,3.6,44.2,0.2,7.4,9.2,""
"Noah Fant","TE","SEA",0,0,0,0,0,0,0,0,2.3,22.5,0.2,4.6,5.8,""
"T.J. Hockenson","TE","MIN",0,0,0,0,0,0,0,0,4,45.1,0.3,8.3,10.3,""
"Mark Andrews","TE","BAL",0,0,0,0,0,0,0,0,4.6,46.9,0.4,9.4,11.7,""
"Pat Freiermuth","TE","PIT",0,0,0,0,0,0,0,0,3.6,46.9,0.3,8.3,10.1,""
"Kyle Pitts","TE","ATL",0,0,0,0,0,0,0,0,3.5,41.6,0.5,8.9,10.7,""
"Daniel Bellinger","TE","NYG",0,0,0,0,0,0,0,0,2.5,27.4,0.2,5.2,6.4,""
"Mike Gesicki","TE","CIN",0,0,0,0,0,0,0,0,3.9,43.8,0.2,7.5,9.5,""
"Jordan Akins","TE","CLE",0,0,0,0,0,0,0,0,2.7,24,0.2,5,6.3,""
"Brock Bowers","TE","LV",0,0,0,0,0,0,0,0,6.8,84.3,0.4,14.2,17.6,""
"Brenton Strange","TE","JAC",0,0,0,0,0,0,0,0,4.6,48.1,0.4,9.5,11.8,""
"Ben Sinnott","TE","WAS",0,0,0,0,0,0,0,0,2.2,21.9,0.2,4.5,5.6,""
"Grant Calcaterra","TE","PHI",0,0,0,0,0,0,0,0,3.4,24.2,0.3,5.9,7.6,""
"Stone Smartt","TE","LAC",0,0,0,0,0,0,0,0,3.5,34.7,0.2,6.4,8.2,""
"Lucas Krull","TE","DEN",0,0,0,0,0,0,0,0,1.4,11.3,0.2,3,3.7,""
"Tyler Conklin","TE","NYJ",0,0,0,0,0,0,0,0,3.1,26.6,0.3,6,7.6,""
"Colby Parkinson","TE","LAR",0,0,0,0,0,0,0,0,2.9,29.3,0.2,5.6,7,""
"Jake Ferguson","TE","DAL",0,0,0,0,0,0,0,0,4,35.1,0.2,6.7,8.7,""
"Cade Otton","TE","TB",0,0,0,0,0,0,0,0,3.7,38.5,0.4,8.1,9.9,""
"Ja'Tavion Sanders","TE","CAR",0,0,0,0,0,0,0,0,2.8,23.4,0.2,4.9,6.3,""
"Elijah Higgins","TE","ARI",0,0,0,0,0,0,0,0,1.8,14.4,0.1,2.9,3.8,""
"Ben Sims","TE","GB",0,0,0,0,0,0,0,0,0.7,4.1,0.1,1.4,1.7,""
"Foster Moreau","TE","NO",0,0,0,0,0,0,0,0,2.6,27.1,0.3,5.8,7.1,""
"Gerald Everett","TE","CHI",0,0,0,0,0,0,0,0,2.6,11.1,0.1,3,4.3,""
"Brock Wright","TE","DET",0,0,0,0,0,0,0,0,0.9,10.3,0.1,2.1,2.5,""
"Noah Gray","TE","KC",0,0,0,0,0,0,0,0,2.5,29.3,0.4,6.6,7.8,""
"Irv Smith Jr.","TE","HOU",0,0,0,0,0,0,0,0,0.8,7.3,0.2,2.3,2.7,""
"Mo Alie-Cox","TE","IND",0,0,0,0,0,0,0,0,0.6,13,0.1,2.2,2.5,""
"Josh Whyle","TE","TEN",0,0,0,0,0,0,0,0,2.3,19,0.1,3.6,4.8,""
"Julian Hill","TE","MIA",0,0,0,0,0,0,0,0,1,9.6,0.1,2.1,2.6,""
"Eric Saubert","TE","SF",0,0,0,0,0,0,0,0,1,11.4,0.1,2.2,2.7,""
"Dawson Knox","TE","BUF",0,0,0,0,0,0,0,0,1,13.9,0.2,3.1,3.6,""
"Austin Hooper","TE","NE",0,0,0,0,0,0,0,0,3.2,32.9,0.2,6.1,7.7,""
"AJ Barner","TE","SEA",0,0,0,0,0,0,0,0,1.5,13.4,0.2,3.3,4,""
"Josh Oliver","TE","MIN",0,0,0,0,0,0,0,0,1.7,21,0.2,4.2,5,""
"Isaiah Likely","TE","BAL",0,0,0,0,0,0,0,0,2.9,29.6,0.3,6.2,7.7,""
"Darnell Washington","TE","PIT",0,0,0,0,0,0,0,0,0.6,9.8,0.2,2.5,2.8,""
"Charlie Woerner","TE","ATL",0,0,0,0,0,0,0,0,0.8,8.5,0.1,1.9,2.3,""
"Chris Manhertz","TE","NYG",0,0,0,0,0,0,0,0,0.4,3.5,0.2,1.8,2,""
"Drew Sample","TE","CIN",0,0,0,0,0,0,0,0,1.7,9.5,0.2,3,3.9,""
"Blake Whiteheart","TE","CLE",0,0,0,0,0,0,0,0,1.9,17.2,0.2,3.9,4.8,""
"Michael Mayer","TE","LV",0,0,0,0,0,0,0,0,1.8,16,0.2,3.7,4.6," -- Under UD Receiving Yards of 20.5 -- Under PP Receiving Yards of 19.5"
"Luke Farrell","TE","JAC",0,0,0,0,0,0,0,0,1.3,5,0.1,1.8,2.4,""
"John Bates","TE","WAS",0,0,0,0,0,0,0,0,1,8.7,0.1,2,2.5,""
,,"TB",0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Hayden Hurst","TE","LAC",0,0,0,0,0,0,0,0,2.7,13.8,0.1,3.3,4.7,""
"Adam Trautman","TE","DEN",0,0,0,0,0,0,0,0,1,8.8,0.2,2.6,3.1,""
"Jeremy Ruckert","TE","NYJ",0,0,0,0,0,0,0,0,0.5,6.5,0.1,1.5,1.8,""
"Hunter Long","TE","LAR",0,0,0,0,0,0,0,0,1.2,7.7,0.1,2,2.6,""
"Luke Schoonmaker","TE","DAL",0,0,0,0,0,0,0,0,2.3,22.3,0.2,4.6,5.7,""
