Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2022,6,walkep1,P.J. Walker,QB,CAR,@LAR,13.1,9,10.0,19.0,32.7,206.9,0.9,1.0,1.6,4.7,0.0,0.0,0.0,0.0,10.2,0.3,0.0,0.3,0.0,0.0,C-Game
2022,6,ekelea1,Austin Ekeler,RB,LAC,DEN,15.0,5,22.0,0.0,0.0,0.0,0.0,0.0,15.4,67.0,0.6,5.7,39.7,0.4,0.0,3.4,1.8,0.1,0.0,0.0,A-Game
2022,6,barkls1,Saquon Barkley,RB,NYG,BAL,15.8,12,21.0,0.0,0.0,0.0,0.0,0.0,19.8,84.3,0.7,3.8,33.7,0.3,0.0,4.2,1.5,0.2,0.0,0.0,A-Game
2022,6,mccafc1,Christian McCaffrey,RB,CAR,@LAR,11.8,2,20.5,0.0,0.0,0.0,0.0,0.0,17.8,75.1,0.4,5.5,40.4,0.2,0.0,3.8,1.9,0.2,0.0,0.0,A-Game
2022,6,kamara1,Alvin Kamara,RB,NO,CIN,16.2,14,19.5,0.0,0.0,0.0,0.0,0.0,20.1,70.1,0.5,4.1,42.4,0.3,0.0,3.5,1.9,0.2,0.0,0.0,A-Game
2022,6,stever1,Rhamondre Stevenson,RB,NE,@CLE,25.7,30,18.8,0.0,0.0,0.0,0.0,0.0,18.9,88.4,0.6,3.5,25.4,0.1,0.0,4.4,1.2,0.2,0.0,0.0,A-Game
2022,6,fournl1,Leonard Fournette,RB,TB,@PIT,15.8,11,18.5,0.0,0.0,0.0,0.0,0.0,18.9,63.6,0.5,4.6,37.2,0.2,0.0,3.2,1.7,0.1,0.0,0.0,A-Game
2022,6,chubbn1,Nick Chubb,RB,CLE,NE,14.0,4,18.4,0.0,0.0,0.0,0.0,0.0,19.6,100.0,1.1,1.1,7.2,0.1,0.0,5.0,0.3,0.1,0.0,0.0,A-Game
2022,6,jonesa2,Aaron Jones,RB,GB,NYJ,20.2,24,16.5,0.0,0.0,0.0,0.0,0.0,14.1,66.5,0.5,3.2,25.4,0.2,0.0,3.3,1.2,0.1,0.0,0.0,A-Game
2022,6,cookd1,Dalvin Cook,RB,MIN,@MIA,22.7,27,16.2,0.0,0.0,0.0,0.0,0.0,18.5,82.4,0.7,2.4,14.5,0.1,0.0,4.1,0.7,0.1,0.0,0.0,A-Game
2022,6,mixonj1,Joe Mixon,RB,CIN,@NO,16.9,17,16.2,0.0,0.0,0.0,0.0,0.0,17.5,67.8,0.5,3.2,23.1,0.2,0.0,3.4,1.1,0.1,0.0,0.0,A-Game
2022,6,hallb1,Breece Hall,RB,NYJ,@GB,16.5,16,15.3,0.0,0.0,0.0,0.0,0.0,15.0,65.6,0.4,3.0,32.5,0.1,0.0,3.3,1.5,0.2,0.0,0.0,A-Game
