Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade,Y! (Proj),Y! ($),Y! (Val),Y! (Pt/$),Y! (Flr),Y! (Flr Val),Y! (Floor/$),Y! (Ceil),Y! (Ceil Val),Y! (Ceil/$),Y! (Wk $ Chg),O/U,Line,Team O/U
2022,6,lawret1,Trevor Lawrence,QB,JAX,@IND,15.6,13,14.3,22.8,36.9,248.6,1.3,0.8,1.9,7.2,0.1,0.0,0.0,0.0,12.2,0.5,0.0,0.3,0.0,0.0,B-Game,15.2,25.0,2.7,0.61,5.8,-6.74,0.23,27.2,14.73,1.09,--,41.000,1.500,19.75
2022,6,wilsoz1,Zach Wilson,QB,NYJ,@GB,14.4,11,14.3,22.0,37.1,240.9,1.3,1.1,1.9,12.8,0.1,0.0,0.0,0.0,11.8,0.8,0.0,0.3,0.0,0.0,B-Game,15.3,23.0,3.8,0.67,5.4,-6.07,0.24,27.7,16.24,1.21,--,45.000,7.500,18.75
2022,6,mariom1,Marcus Mariota,QB,ATL,SF,10.5,4,13.5,16.9,27.2,201.4,1.0,0.9,4.7,22.0,0.3,0.0,0.0,0.0,9.7,1.4,0.0,0.3,0.0,0.0,C-Game,14.4,20.0,4.4,0.72,4.5,-5.50,0.23,27.1,17.07,1.35,--,46.000,4.5,20.75
2022,6,brissj1,Jacoby Brissett,QB,CLE,NE,16.0,14,13.4,18.7,29.0,205.1,1.0,0.6,4.9,19.8,0.2,0.0,0.0,0.0,10.0,1.3,0.0,0.3,0.0,0.0,C-Game,14.1,22.0,3.1,0.64,4.5,-6.49,0.20,26.5,15.50,1.20,--,43.000,-2.5,22.75
2022,6,ryanm1,Matt Ryan,QB,IND,JAX,10.9,6,13.4,22.2,35.4,242.7,1.4,1.1,0.7,2.1,0.1,0.0,0.0,0.0,11.9,0.1,0.0,0.2,0.0,0.0,C-Game,14.5,21.0,4.0,0.69,5.7,-4.77,0.27,26.8,16.31,1.28,--,41.000,-1.5,21.25
2022,6,pickek1,Kenny Pickett,QB,PIT,TB,14.9,12,13.3,20.9,34.3,226.1,1.2,1.1,3.0,14.0,0.2,0.0,0.0,0.0,11.1,0.9,0.0,0.3,0.0,0.0,C-Game,14.4,25.0,1.9,0.58,4.5,-8.01,0.18,27.0,14.52,1.08,--,46.000,9.5,18.25
2022,6,thomps1,Skylar Thompson,QB,MIA,MIN,16.4,16,13.3,21.6,35.0,238.1,1.2,0.9,1.8,7.7,0.1,0.0,0.0,0.0,11.6,0.5,0.0,0.3,0.0,0.0,C-Game,14.2,20.0,4.2,0.71,5.1,-4.87,0.26,26.6,16.63,1.33,--,45.500,3,21.25
2022,6,zappeb1,Bailey Zappe,QB,NE,@CLE,17.6,19,12.3,19.5,30.5,211.9,1.3,0.9,1.2,5.6,0.1,0.0,0.0,0.0,10.4,0.4,0.0,0.2,0.0,0.0,C-Game,13.3,20.0,3.3,0.66,4.6,-5.41,0.23,25.8,15.84,1.29,--,43.000,2.500,20.25
2022,6,rushc1,Cooper Rush,QB,DAL,@PHI,7.8,1,12.1,19.7,31.8,221.0,1.2,0.8,2.0,5.5,0.0,0.0,0.0,0.0,10.8,0.4,0.0,0.3,0.0,0.0,C-Game,13.0,20.0,3.0,0.65,4.5,-5.47,0.23,25.5,15.49,1.27,--,42.000,6.500,17.75
2022,6,daltoa1,Andy Dalton,QB,NO,CIN,10.3,3,10.6,15.1,23.7,184.4,1.1,0.6,1.4,4.5,0.0,0.0,0.0,0.0,8.8,0.3,0.0,0.2,0.0,0.0,C-Game,11.3,20.0,1.3,0.56,3.3,-6.67,0.17,23.9,13.92,1.20,--,43.500,3,20.25
2022,6,walkep1,P.J. Walker,QB,CAR,@LAR,13.1,9,10.0,19.0,32.7,206.9,0.9,1.0,1.6,4.7,0.0,0.0,0.0,0.0,10.2,0.3,0.0,0.3,0.0,0.0,C-Game,11.0,20.0,1.0,0.55,3.8,-6.18,0.19,24.0,14.01,1.20,--,41.500,10.000,15.75
