"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfRBProjection","astroFullRBProjection"
"Christian McCaffrey","SF",17.9,17.5,92.6,0.6,3.9,27.8,0.3,4.6,1.3,5.9,19.4,21.3
"De'Von Achane","MIA",17.8,12,68.4,0.5,4.7,38.6,0.5,3.4,1.7,5.1,19.1,21.4
"Joe Mixon","HOU",17.1,19.7,82.4,0.9,2.1,20.2,0.2,4.1,0.9,5,17.9,19
"Jahmyr Gibbs","DET",16.9,16,82.8,0.7,2.6,26.4,0.2,4.2,1.2,5.4,17.6,18.9
"Saquon Barkley","PHI",16.8,18.4,90.8,0.8,2.9,16.6,0.2,4.5,0.7,5.2,18.2,19.6
"Kenneth Walker","SEA",16.5,16.6,69.4,0.8,3.6,24.6,0.2,3.5,1.2,4.7,17.2,19
"Kareem Hunt","KC",16.4,21.1,83,0.8,1.9,17.3,0.2,4.2,0.8,5,17,17.9
"Derrick Henry","BAL",16.3,20.2,93.5,1.1,0.8,7.7,0.2,4.7,0.4,5.1,18.3,18.7
"Josh Jacobs","GB",16.1,21.8,92.4,0.6,2.5,17.1,0.2,4.7,0.8,5.5,17,18.3
"Brian Robinson","WAS",15.3,17,78.7,0.9,1.1,10.2,0.2,3.9,0.5,4.4,16,16.6
"Kyren Williams","LAR",14.6,17.6,69.2,0.8,2.1,11.9,0.2,3.5,0.6,4.1,15.2,16.2
"David Montgomery","DET",14.3,14.1,59.4,0.8,2.2,21.2,0.2,3,1,4,15.2,16.3
"Jonathan Taylor","IND",14,15.7,63.4,0.9,1.4,12.4,0.2,3.2,0.6,3.8,14.9,15.6
"James Conner","ARI",13.8,14.6,67,0.6,2.3,21.9,0.1,3.3,1,4.3,14.2,15.4
"Chuba Hubbard","CAR",13.3,20.9,66.1,0.6,2.8,13.3,0.2,3.3,0.6,3.9,14.1,15.5
"Najee Harris","PIT",13.3,16.3,71.2,0.6,1.9,18.3,0.1,3.6,0.8,4.4,14.1,15.1
"Rhamondre Stevenson","NE",13.1,15.2,56.5,0.8,2.6,13.3,0.1,2.8,0.6,3.4,13.7,15
"Tyrone Tracy","NYG",13.1,17.3,75.4,0.6,1.5,10.8,0.2,3.8,0.5,4.3,14.2,14.9
"Bucky Irving","TB",12.5,13.7,59.2,0.4,2.7,22.1,0.2,2.9,1.1,4,13.1,14.4
"D'Andre Swift","CHI",12.1,13.4,59,0.4,2.3,21.9,0.2,2.9,1,3.9,12.8,14
"Tony Pollard","TEN",11.9,14.6,56.6,0.5,3.2,19.4,0.1,2.9,0.9,3.8,12.8,14.4
