"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfWRProjection","astroFullWRProjection"
"KaVontae Turpin","DAL",5,0.4,2.8,0,2.5,25.9,0.2,0.1,1.4,1.5,5.3,6.6
"Ricky Pearsall","SF",4.9,0,0,0,1.8,30.8,0.2,0,1.3,1.3,5.2,6.1
"LilJordan Humphrey","DEN",4.6,0,0,0,2.1,21.5,0.3,0,1.2,1.2,5,6
"Kalif Raymond","DET",4.3,0,0,0,1.8,19,0.3,0,1,1,4.6,5.5
"Jalen McMillan","TB",4.2,0.9,6.2,0,1.7,17.6,0.2,0.3,1,1.3,4.4,5.3
"Jahan Dotson","PHI",4.1,0.2,1.4,0,1.8,22.1,0.2,0.1,1.1,1.2,4.5,5.4
"Greg Dortch","ARI",4,0,0,0,2.8,17.3,0.2,0,1.3,1.3,4.3,5.7
"Justin Watson","KC",3.7,0,0,0,1.8,20,0.2,0,1,1,4.1,5
"Calvin Austin III","PIT",3.6,0,0,0,1.2,21,0.2,0,0.9,0.9,3.9,4.5
"Jalen Nailor","MIN",3.6,0,0,0,1,15.2,0.3,0,0.6,0.6,3.8,4.3
"Nelson Agholor","BAL",3.5,0,0,0,1.5,17.9,0.2,0,0.9,0.9,3.7,4.5
"Sterling Shepard","TB",3.5,0.7,6,0,1.7,16.1,0.1,0.2,1,1.2,3.7,4.5
"Mike Williams","PIT",3.4,0,0,0,0.9,20.6,0.2,0,0.8,0.8,3.7,4.2
"Johnny Wilson","PHI",2.9,0,0,0,1.8,15.5,0.2,0,0.9,0.9,3.6,4.5
"Luke McCaffrey","WAS",2.7,0,0,0,1.2,12,0.2,0,0.7,0.7,3,3.6
"Odell Beckham","MIA",2.5,0,0,0,1.3,10.7,0.2,0,0.6,0.6,2.9,3.6
