"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfWRProjection","astroFullWRProjection"
"Sterling Shepard","TB",5.8,0.5,4,0,2.3,35.6,0.2,0.2,1.7,1.9,6.3,7.5
"Parker Washington","JAC",5.7,0,0,0,2.8,33,0.2,0,1.6,1.6,5.9,7.3
"Andrei Iosivas","CIN",5.6,0,0,0,2.1,30.3,0.4,0,1.4,1.4,6.5,7.5
"Kalif Raymond","DET",5.3,0,0,0,2.6,29.1,0.2,0,1.6,1.6,5.4,6.7
"KaVontae Turpin","DAL",5.2,0.2,1.9,0,2.6,27.1,0.2,0.1,1.5,1.6,5.4,6.7
"Mason Tipton","NO",5,0,0,0,2.7,28.1,0.2,0,1.6,1.6,5.4,6.7
"Kayshon Boutte","NE",4.9,0,0,0,1.7,31,0.2,0,1.3,1.3,5.2,6
"Devaughn Vele","DEN",4.9,0,0,0,2.1,30.3,0.2,0,1.4,1.4,5.3,6.3
"Ricky Pearsall","SF",4.9,0,0,0,1.9,30.2,0.2,0,1.4,1.4,5.2,6.1
"Robert Woods","HOU",4.8,0,0,0,2.6,26.2,0.2,0,1.4,1.4,5.1,6.4
"Austin Trammell","JAC",4.5,0,0,0,2.1,28.8,0.2,0,1.4,1.4,5.1,6.2
"Mack Hollins","BUF",4.4,0,0,0,1.7,21.4,0.3,0,1.1,1.1,4.8,5.6
"Adonai Mitchell","IND",4.3,0.3,1.7,0,2.2,22.1,0.2,0.1,1.2,1.3,4.7,5.8
"David Moore","CAR",4.2,0,0,0,1.7,26.6,0.2,0,1.2,1.2,4.7,5.6
"Trenton Irwin","CIN",4.2,0,0,0,2.4,25.2,0.2,0,1.4,1.4,4.9,6.1
"Kendrick Bourne","NE",4,0,0,0,2.2,18.8,0.2,0,1.1,1.1,4.2,5.3
"Justin Watson","KC",4,0,0,0,1.7,23.1,0.2,0,1.1,1.1,4.4,5.2
"Troy Franklin","DEN",4,0,0,0,1.8,22.1,0.2,0,1.2,1.2,4.3,5.2
"Tyler Boyd","TEN",4,0.1,0.6,0,2.5,22.7,0.1,0,1.3,1.3,4.2,5.4
"Olamide Zaccheaus","WAS",4,0,0,0,2.3,20.6,0.2,0,1.2,1.2,4.4,5.6
"Van Jefferson","PIT",4,0,0,0,1.9,21.3,0.2,0,1.1,1.1,4.3,5.2
"Greg Dortch","ARI",3.8,0,0,0,2.5,20.4,0.1,0,1.3,1.3,3.9,5.1
"Ryan Miller","TB",3.3,0,0,0,1.6,17.8,0.2,0,0.9,0.9,3.8,4.6
"Jermaine Jackson","NO",3.2,0,0,0,1.3,16.5,0.2,0,0.8,0.8,3.5,4.2
"Marquez Valdes-Scantling","NO",3,0,0,0,1.4,16.8,0.2,0,0.8,0.8,3.6,4.3
"Jalin Hyatt","NYG",3,0,0,0,0.7,20.7,0.2,0,0.7,0.7,3.6,4
"Xavier Gipson","NYJ",3,0,0,0,1.1,14.2,0.2,0,0.7,0.7,3.2,3.7
"Jahan Dotson","PHI",2.4,0.5,4.2,0,1.4,9.1,0.1,0.2,0.7,0.9,2.6,3.3
"Odell Beckham","MIA",2.3,0,0,0,1.1,9.1,0.2,0,0.6,0.6,2.7,3.2
