"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfRBProjection","astroFullRBProjection"
"Jordan Mims","NO",4.3,4.1,13.5,0.1,1.5,15.4,0.1,0.7,0.7,1.4,4.8,5.6
"Kimani Vidal","LAC",4.3,4,13.7,0.2,0.8,10.2,0.2,0.6,0.5,1.1,5.2,5.6
"Ezekiel Elliott","DAL",4.3,7.6,24.4,0.2,0.7,3.5,0.1,1.2,0.2,1.4,4.9,5.3
"Blake Corum","LAR",4.2,5.4,20.2,0.3,0.4,2.9,0.1,1.1,0.1,1.2,4.9,5.1
"Jeremy McNichols",,4.2,,,,,,,,,,,
"Antonio Gibson","NE",3.1,1.9,8.5,0.1,1.2,10.1,0.1,0.4,0.5,0.9,3.7,4.3
"Dare Ogunbowale","HOU",3.1,2.6,7.9,0.1,1.5,9.8,0.1,0.4,0.4,0.8,3.7,4.5
"Audric Estime",,2.8,,,,,,,,,,,
"Trey Benson",,2.8,,,,,,,,,,,
"Kenneth Gainwell","PHI",2.3,2.4,11.4,0.1,0.5,3.5,0.1,0.6,0.1,0.7,2.9,3.2
"Ty Johnson",,2.2,,,,,,,,,,,
"D'Ernest Johnson",,2.1,,,,,,,,,,,
"Keaton Mitchell",,1.6,,,,,,,,,,,
"Dalvin Cook",,1.4,,,,,,,,,,,
"JaMycal Hasty",,1.2,,,,,,,,,,,
"CJ Ham",,1.1,,,,,,,,,,,
"Carson Steele",,0.9,,,,,,,,,,,
"Tyler Goodson",,0.8,,,,,,,,,,,
"Alec Ingold",,0.8,,,,,,,,,,,
"Hassan Haskins",,0.8,,,,,,,,,,,
"Isaac Guerendo",,0.8,,,,,,,,,,,
"Trayveon Williams",,0.6,,,,,,,,,,,
