"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Justin Jefferson","WR","MIN","39.4","10.8","4.4","31","30.3","16.7","BYE","15.8","25.5","35.3","6.3","29.3","18.6","33.3","30.3","31.3","2.5","7.8","21.7","368.7"
"2","Tyreek Hill","WR","MIA","18","42","5.3","25.9","13","29.7","14.2","31.5","27.3","15.4","BYE","15","29.6","18.1","21.9","14.3","15.7","4.3","20.1","341.2"
"3","Davante Adams","WR","LV","30.1","9.2","14.2","19.5","27.4","BYE","17.5","1.2","36.6","27.6","33.1","14.4","37.7","10.1","6.8","3.5","34.3","12.3","19.7","335.5"
"4","Stefon Diggs","WR","BUF","26.2","44.8","14.4","10.2","24.2","30.8","BYE","22.8","14.3","24.8","14.8","21.7","22.2","6.7","10.7","4.6","4.6","23.4","18.9","321.2"
"5","CeeDee Lamb","WR","DAL","4.9","15.1","22.7","21.7","10.3","12.7","10.6","18.8","BYE","38","9.5","17.7","20.4","8.3","19.7","34","21","16.2","17.7","301.6"
"6","A.J. Brown","WR","PHI","25.5","11.9","19.5","14.5","6.2","17.7","BYE","39.6","15.9","1.7","9","12.6","31.9","17","27.1","16.3","19.7","13.5","17.6","299.6"
"7","Amon-Ra St. Brown","WR","DET","20.4","39.4","13.3","-","5.8","BYE","1.4","13.9","9.5","22.1","15","27.9","34.6","13.4","15.2","14.6","10.2","10.9","16.7","267.6"
"8","Jaylen Waddle","WR","MIA","17.7","40.1","15.1","5.9","5.3","16.9","12.8","30.6","19.5","10.6","BYE","13.5","1.9","5.1","20.4","25.3","8.2","10.3","15.2","259.2"
"9","DeVonta Smith","WR","PHI","0","15","30.9","4.7","18.7","15.4","BYE","7.3","4.2","13.9","13.8","9","21.2","17.4","17.6","31.3","20.5","13.7","15","254.6"
"10","Amari Cooper","WR","CLE","4.7","25.1","23.1","1.9","20.6","14.4","10.4","23.1","BYE","6.2","31.3","16.4","8","6.2","9.8","13.2","25.5","7.1","14.5","247"
"11","Ja'Marr Chase","WR","CIN","28.9","10.8","12.7","12.1","12","32.2","33","-","-","BYE","-","-","16.7","28.5","19","13.9","0","22.6","18.6","242.4"
"12","Christian Kirk","WR","JAC","17.7","25.8","19.2","8.3","2.1","10.8","17.1","7","21.6","31.5","BYE","8.1","16.4","9.5","15.2","5.6","4.1","21.9","14.2","241.9"
"13","Tyler Lockett","WR","SEA","5.8","19.7","16.6","13.1","27.4","3.7","11.5","15.3","17.7","13.2","BYE","15.8","27.8","17","13.8","-","3.5","15.4","14.8","237.3"
"14","Terry McLaurin","WR","WAS","13.8","12.2","16.2","3.5","12.6","8.2","18.3","16.6","10.6","20.8","9.6","9.3","24.5","BYE","13","17.7","5.7","16.4","13.5","229"
"15","Brandon Aiyuk","WR","SF","6.7","11.3","12.9","7.7","8.8","28.3","15.2","20.1","BYE","12.4","16","11.5","9.6","13.7","3.9","13.1","26.7","9.9","13.4","227.8"
"16","DK Metcalf","WR","SEA","8.6","7.5","17.4","21.9","17.8","5.4","2.2","17.5","14.7","13.1","BYE","20","26.7","18.1","12.5","15.1","1.3","7","13.3","226.8"
"17","Mike Evans","WR","TB","18.1","9.1","-","30.3","12.1","8.2","18.6","18.3","9","10.4","BYE","5.1","9.9","8.4","13.3","5.9","48.7","-","15","225.4"
"18","Tee Higgins","WR","CIN","4.7","19.1","14.3","25.4","-","10.7","14.3","13.9","13","BYE","23.8","24.4","12.5","-","16.3","26.8","2.3","1.7","14.9","223.2"
"19","Chris Godwin","WR","TB","6.5","-","-","12.9","12.3","15.5","11.5","13.5","10.7","19.1","BYE","29","14.3","10.4","22.3","14.3","21","9.5","14.9","222.8"
"20","Michael Pittman Jr.","WR","IND","27.1","-","15.2","6.1","10.9","26.4","9.8","12.3","5.2","12.3","13.5","19.1","3.6","BYE","19","7.9","16.1","12","13.5","216.5"
"21","Garrett Wilson","WR","NYJ","9.2","30","12","6.1","5.7","1.8","6.4","17.5","17.9","BYE","3.2","26.4","24.2","13.8","13.8","5","4.8","17.9","12.7","215.7"
"22","Jerry Jeudy","WR","DEN","20.2","2.2","3.7","15.3","8.3","8.4","16.6","18.3","BYE","0","-","-","10.5","33.3","14.6","17.7","10.8","24.3","13.6","204.2"
"23","Cooper Kupp","WR","LAR","31.8","31.8","16.4","26.2","25.9","16.7","BYE","22.9","26.8","2.9","-","-","-","-","-","-","-","-","22.4","201.4"
"24","DJ Moore","WR","CHI","8","13.3","2.5","12.1","10.7","3.7","19.6","27.5","4.4","6.9","5.4","20.3","-","0.6","18.3","20.1","23.7","2","11.7","199.1"
"25","Chris Olave","WR","NO","9.1","11","23.7","16.7","15.4","-","17.6","10.2","13.1","7","21.2","11.2","10.5","BYE","8.3","-","8.2","15","13.2","198.2"
"26","Zay Jones","WR","JAC","12.5","5.3","24.5","-","4.2","9.2","10.8","6.5","9","14.8","BYE","27.5","3.6","21.7","34.9","2.1","5.4","6.1","12.4","198.1"
"27","JuJu Smith-Schuster","WR","NE","11.9","4","13.9","9.6","6.3","22.3","25.4","-","18.8","5.3","-","6.8","6.5","22.4","16.8","5.7","4.1","5.5","11.6","185.3"
"28","Diontae Johnson","WR","PIT","12.5","13.7","16.4","4.2","11","8.6","9.5","8.5","BYE","10.3","6.2","9.9","11","14.2","20","11.4","5.5","7.8","10.6","180.7"
"29","Jakobi Meyers","WR","LV","10.2","18.5","-","-","24.1","10","11.4","21","7.4","-","9.2","9.2","5.2","-","4.7","20.3","16.9","12.2","12.9","180.3"
"30","Adam Thielen","WR","CAR","6.6","9.2","18.1","15.2","6.7","15.6","-","12.7","9.7","9.9","4.5","21.1","4.7","19.5","13.1","1.6","2.6","9.2","10.6","180"
"31","Drake London","WR","ATL","12.4","24.6","14.4","3.7","7.5","7","1.9","7.1","3.3","14.8","7.2","4.9","15.5","BYE","12","14.6","9.7","18","10.5","178.6"
"32","Mike Williams","WR","LAC","3","25.3","8.5","19","23.4","3.7","21.6","BYE","-","-","2.5","-","-","23.6","10.7","11.6","16.4","7.2","13.6","176.5"
"33","Curtis Samuel","WR","WAS","19.2","22.9","13.1","7.8","12.2","2.6","12.9","10.9","17.1","6","9.8","1.3","14.6","BYE","7.5","16.4","1.6","0.4","10.4","176.3"
"34","Tyler Boyd","WR","CIN","13.3","5.7","20.5","7.6","6.2","12.6","29.5","12.8","9.4","BYE","6.2","3.6","10","0","14.5","5.1","8.4","10.1","10.3","175.5"
"35","Allen Lazard","WR","NYJ","-","9.3","14.5","17.6","13.5","17.6","11.5","-","18.7","7.5","10.7","4.4","11.7","-","1.7","11.1","10.9","14.1","11.7","174.8"
"36","Gabe Davis","WR","BUF","18.8","-","6.7","2.3","32.1","16.4","BYE","5.5","5.3","21.3","11.8","7.8","9.5","6.1","9.6","11.5","-","6.9","11.4","171.6"
"37","Joshua Palmer","WR","LAC","3.9","13","15.9","3.5","5.4","14.7","-","BYE","18.6","7.4","30.6","10.6","13","9.3","9.9","3.6","0","9.9","10.6","169.3"
"38","Deebo Samuel","WR","SF","12.6","14.7","12.9","23.7","11.2","16","9.4","-","BYE","7.1","22.4","7.3","12.3","14.4","-","-","-","4.4","13","168.4"
"39","Donovan Peoples-Jones","WR","DET","12","0","2","12.1","9","11.6","11.1","12.1","-","14.9","17.1","3.6","13.4","19.4","13.1","1.2","8.3","6.2","9.8","167.1"
"40","George Pickens","WR","PIT","1.3","3.3","6.9","16.2","14.3","5.8","18.1","0","BYE","14.5","18.3","10.7","1.2","10.8","7.3","16.7","4.9","16.2","9.8","166.5"
"41","Christian Watson","WR","GB","6.1","3.9","-","9.3","0.8","-","-","2.2","4.4","32.7","21.1","21","24.4","BYE","8.6","10.9","2.1","16.6","11.7","164.1"
"42","Keenan Allen","WR","LAC","10.6","-","-","-","-","-","3.1","BYE","-","-","12.4","15.9","20.8","21.2","16.6","21.4","11.8","30.2","16.4","164"
"43","Courtland Sutton","WR","DEN","11.2","19.7","17.7","16.2","12.4","3.4","5.3","2.3","BYE","12.6","13","13.5","0","-","-","11.4","8.4","12.3","10.6","159.4"
"44","Marquise Brown","WR","ARI","14.3","12.8","28","20.8","21.8","11.8","-","-","-","-","-","10.6","BYE","7.4","5.9","8.8","12.1","1.7","13","156"
"45","K.J. Osborn","WR","MIN","4.4","4.5","18.3","1.5","9.1","4.8","BYE","8.8","0","7.7","3.7","2.3","3.7","14.8","31.7","4.7","18.9","16.7","9.2","155.6"
"46","Mack Hollins","WR","ATL","2.6","11.6","30","6.3","0","-","12.4","13.4","3.7","3.8","11.2","16.3","8.5","8.2","14","1.7","7","3.5","9.1","154.2"
"47","DeAndre Hopkins","WR","TEN","-","-","-","-","-","BYE","20.3","33.9","13.6","19.8","18.1","18.7","-","12.9","13","1.4","-","-","16.9","151.7"
"48","Parris Campbell","WR","NYG","6.7","0","3","8.3","4.2","18.7","23","9.1","3.6","20.6","11.7","3.4","8.5","-","3.3","3.9","8.3","12.8","8.8","149.1"
"49","Brandin Cooks","WR","DAL","15.2","9.4","4.2","18.7","6","-","8.6","11.3","BYE","8.2","10","11.1","-","-","-","13.4","7.9","21.6","11.2","145.6"
"50","Richie James Jr.","WR","KC","11.1","10.1","8","-0.1","3.6","3.8","1.2","-4","-","-","13.8","15.1","5","19.1","8.2","17","20.6","0","8.3","132.5"
"51","Jahan Dotson","WR","WAS","18","17.9","3","13.3","-","-","-","-","-","2.4","2.6","0","16.4","BYE","20.5","19.6","6.7","10.2","10.9","130.6"
"52","Darius Slayton","WR","NYG","-","-","-","2.1","13.9","2.8","14.8","11.6","BYE","18.5","13.6","9.3","15","6.2","7.3","11.9","1.4","-","9.9","128.4"
"53","Russell Gage","WR","TB","3.3","7.8","24.7","4.4","6","4","7.9","-","-","-","BYE","-","2.1","9.2","25.9","11.5","6.3","10.5","9.5","123.6"
"54","Marquez Valdes-Scantling","WR","KC","8.1","3.3","8.8","9.3","15","0","14.1","BYE","2.2","15","2.8","9.6","9.1","3","11.6","0","4.8","5.7","7.2","122.4"
"55","Isaiah McKenzie","WR","IND","9.9","5.7","21.2","12.1","-","2.9","-","8","4.1","9.5","0","22.3","9.4","5.8","4.4","0.6","0","3.9","7.5","119.8"
"56","Marvin Jones Jr.","WR","FA","7.8","6.3","13.3","0","17.4","-","9.7","0","9.8","4.3","-","11.2","2.7","3.2","9.7","4.5","12.1","4.9","7.3","116.9"
"57","Kalif Raymond","WR","DET","0","0","1.4","5.1","9.5","BYE","14.5","10.6","4.7","7.7","7","7.5","2.6","3.9","16.3","7.4","7.4","10.6","6.8","116.2"
"58","Devin Duvernay","WR","BAL","21.4","12.2","10.3","9.1","12.8","2.4","6.2","16.4","1.5","BYE","1.7","6.9","10.3","0","4.9","-","-","-","8.3","116.1"
"59","Robert Woods","WR","HOU","2.3","7.9","12.5","13","7.7","BYE","5.6","2.6","0","3","12.9","3.6","1.6","9.9","3.2","7","14.9","8","6.8","115.7"
"60","Chris Moore","WR","TEN","6.1","3.4","9.3","0","-","BYE","10","-","14.5","10","7.3","2.7","7.6","22.4","8.2","4.5","5.1","4","7.7","115.1"
"61","Noah Brown","WR","HOU","11.8","20.1","10.4","9.1","1.5","2","8","-","-","1.3","6.2","0","3.5","12.5","22.9","1.5","1.7","2","7.2","114.5"
"62","Greg Dortch","WR","ARI","13.3","15.5","17","1.6","0","0","7.6","1.2","1.3","0","19.3","-","BYE","0","0","22.3","5.5","8.5","7.1","113.1"
"63","Alec Pierce","WR","IND","0","-","9.1","12","16.1","13.9","6.7","9.5","3.3","0","5.8","0","18.6","BYE","0","5.6","4.5","7.2","7","112.3"
"63","DeAndre Carter","WR","LV","15.4","8.5","5.6","1.6","2.9","4.7","6.7","-","10.3","16.4","6.3","20.3","2.4","1","1.5","0","3.4","5.3","6.6","112.3"
