"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"72","Drew Sample","TE","CIN","-","-","0","-","2.9","0","-","-","6.6","BYE","1.3","-","-","2.4","1.2","2.9","0","1.8","1.9","19.1"
"74","Blake Bell","TE","KC","1.5","3","1.6","-","1.4","-","-","0","0","0.3","1.8","BYE","-","-","0.3","2.1","6.7","0","1.6","18.7"
"74","Eric Saubert","TE","HOU","1.7","1.7","0","0","-","5.3","1.3","-","1.6","0","-","7.1","-","-","-","-","0","-","1.9","18.7"
"76","Noah Gray","TE","KC","-","-","1.5","0","-","-","1.4","-","-","7.1","1.8","BYE","-","-","-","3.2","1.6","-","2.4","16.6"
"77","Jesper Horsted","TE","LV","-","-","-","-","7.2","0","0","BYE","-","-","-","-","-","-","8.9","-","-","-","4","16.1"
"78","Antony Auclair","TE","FA","-","-","-","-","8.1","-","-","-","4.3","-","-","-","-","1.6","-","-","-","1.7","3.9","15.7"
"79","Josh Oliver","TE","MIN","0","1.9","1.6","0","3.3","1.2","4.9","-","-","0","-","-","0","1.6","-","-","-","1.1","1.4","15.6"
"80","Ross Dwelley","TE","SF","-","-","-","9.1","4.5","BYE","1.5","-","-","0","-","-","-","-","-","-","-","-","3.8","15.1"
"81","Chris Herndon IV","TE","FA","0","-","-","-","0","7.2","-","1.7","-","2.4","-","-","-","2.7","-","-","-","-","2.3","14"
"82","Sean McKeon","TE","DAL","-","-","-","-","-","-","BYE","-","0","3.5","1.2","8","-","-","-","0","-","-","2.5","12.7"
"83","Luke Farrell","TE","JAC","-","1.6","0.9","1.7","2.3","3.1","BYE","1.3","0","-","-","-","-","-","-","-","1.7","0","1.4","12.6"
"84","Tyree Jackson","TE","NYG","-","-","-","-","-","-","-","-","-","BYE","0","-","-","-","-","0","-","11.2","3.7","11.2"
"85","Chris Myarick","TE","FA","-","-","-","-","-","0","-","-","-","-","0","9.1","-","0","-","1.6","-","-","2.1","10.7"
"86","Tre' McKitty","TE","BUF","-","-","-","-","-","-","BYE","-","-","-","1.7","0","-","-","1.4","2.2","5.2","0","1.8","10.5"
"87","Charlie Woerner","TE","SF","-","-","-","-","1.4","BYE","5","1.7","-","-","-","2.1","0","0","0","-","0","-","1.3","10.2"
"88","Parker Hesse","TE","ATL","-","0","-","-","-","BYE","-","-","-","-","1.5","1.7","-","-","-","-","6.1","-","2.3","9.3"
"89","Colby Parkinson","TE","SEA","-","-","-","-","1.1","-","-","-","BYE","-","1.6","-","-","-","0","0","2.2","3.4","1.4","8.3"
"89","Darren Fells","TE","FA","1.2","-","5.5","-","-","-","1.6","-","-","-","-","-","-","-","-","-","-","-","2.8","8.3"
"91","Garrett Griffin","TE","FA","-","-","-","0","0","-","-","6","-","-","0","-","1.9","-","-","-","-","-","1.6","7.9"
"92","Kendall Blanton","TE","FA","-","-","-","-","-","-","-","-","-","1.2","-","-","1.6","4.9","0","-","-","-","1.9","7.7"
"93","Tyler Davis","TE","GB","-","-","-","-","0","0","0","-","-","1.4","-","-","BYE","0","3.2","-","2.9","0","0.9","7.5"
"94","Trevon Wesco","TE","TEN","-","-","-","0","0","-","0","-","3.6","0","-","0","BYE","-","2.9","0","-","-","0.8","6.5"
"95","Shane Zylstra","TE","DET","-","-","-","-","-","-","-","-","BYE","-","-","-","-","3.8","2.6","0","-","-","2.1","6.4"
"96","Kaden Smith","TE","FA","0","4.4","1.9","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","1.6","6.3"
"97","Jack Stoll","TE","PHI","-","0","-","-","-","-","-","1.9","-","2.6","0","-","-","BYE","1.7","0","-","-","1","6.2"
"98","Jeremy Sprinkle","TE","FA","-","-","-","0","-","0","-","-","-","-","0","-","-","-","4.1","0","-","2","1","6.1"
"98","Tommy Hudson","TE","NO","-","2.4","1.3","2.4","-","BYE","-","-","-","-","0","-","-","-","-","-","-","-","1.5","6.1"
"100","Kenny Yeboah","TE","NYJ","-","-","-","-","-","BYE","-","-","-","0","-","-","0","-","-","-","5.6","-","1.9","5.6"
"101","Dominique Dafney","TE","FA","0","-","-","-","-","-","-","-","0","-","1.8","0","-","-","-","-","0","3.6","0.9","5.4"
"102","Daniel Brown","TE","FA","0","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","4.9","-","1.6","4.9"
"103","Mitchell Wilcox","TE","CIN","-","-","-","-","-","-","-","-","-","BYE","-","-","-","0","0","0","-","4.6","1.2","4.6"
"104","Demetrius Harris","TE","FA","0","0","0","0","-","0","0","0","-","-","-","-","2.7","-","0","1.3","-","-","0.4","4"
"105","Cethan Carter","TE","FA","-","1.8","-","0","-","1.8","0","0","0","-","0","-","-","-","-","-","-","0","0.5","3.6"
"106","Derek Carrier","TE","FA","-","3.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","1.7","3.3"
"107","Luke Stocker","TE","FA","-","-","-","-","-","-","-","1.7","1.5","0","-","-","0","-","0","-","-","0","0.5","3.2"
"108","Richard Rodgers","TE","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.1","3.1","3.1"
"109","Kevin Rader","TE","TEN","-","-","-","-","-","-","-","-","1.1","-","-","-","BYE","-","-","1.7","0","-","0.9","2.8"
"109","Ethan Wolf","TE","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.8","-","-","2.8","2.8"
"111","Johnny Mundt","TE","MIN","0","-","0","1.9","-","-","BYE","-","-","-","-","-","-","-","-","-","-","-","0.6","1.9"
"111","Brycen Hopkins","TE","LAR","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","1.9","-","-","-","1.9","1.9"
"113","Hunter Long","TE","LAR","-","-","-","-","-","0","-","-","-","-","BYE","-","1.8","-","0","-","-","-","0.6","1.8"
"114","Eric Tomlinson","TE","IND","0","-","-","-","-","-","-","-","1.7","-","0","0","0","BYE","-","0","-","0","0.2","1.7"
"115","Nick Boyle","TE","FA","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","1.2","-","0.6","1.2"
"116","Deon Yelder","TE","FA","-","-","-","-","-","-","1","0","-","-","-","-","-","-","-","-","-","-","0.5","1"
"116","Darrell Daniels","TE","FA","0","0","0","-","-","0","-","0","1","0","0","-","-","-","-","-","0","0","0.1","1"
"118","Daniel Helm","TE","FA","-","-","-","-","-","-","-","-","-","0","-","0","-","-","0.9","-","-","-","0.3","0.9"
"119","Noah Togiai","TE","PHI","-","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","0","0","0"
"119","Stephen Sullivan","TE","CAR","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","0","-","-","0","0"
"119","Farrod Green","TE","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","0","0"
"119","Andrew Beck","TE","HOU","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","0","-","-","-","0","0"
"119","Miller Forristall","TE","LAR","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","0","-","-","-","0","0"
"119","Jake Hausmann","TE","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","0","0"
"119","Clark Harris","TE","FA","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","0","0"
"119","Sammis Reyes","TE","FA","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","0","0","-","0","0"
"119","Rashod Berry","TE","IND","-","-","-","-","-","-","-","-","-","-","-","-","0","BYE","0","0","-","0","0","0"
"119","Jacob Harris","TE","PHI","-","-","-","-","-","-","0","-","-","-","-","-","-","BYE","-","-","-","-","0","0"
"119","Jared Pinkney","TE","FA","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"119","Giovanni Ricci","TE","CAR","-","0","-","-","0","-","-","0","-","0","-","0","BYE","-","0","0","0","0","0","0"
"119","Ben Ellefson","TE","FA","-","0","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0"
"119","Codey McElroy","TE","FA","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"119","Briley Moore","TE","FA","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","0","-","-","0","0"
"119","J.P. Holtz","TE","FA","-","-","-","0","-","-","-","0","-","-","-","0","-","0","-","0","-","-","0","0"
"119","Colin Thompson","TE","FA","-","-","-","0","-","-","0","-","0","-","-","-","-","-","-","-","-","-","0","0"
""
""
