"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"155","Ryan Nall","RB","FA","-","-","-","-","-","-","1.4","0.4","0","-","0","-","-","-","-","-","0","-","0.4","1.8"
"156","Devine Ozigbo","RB","FA","-","-","-","-","-","-","1.4","-","0","-","-","-","-","-","-","-","-","-","0.7","1.4"
"157","John Kelly Jr.","RB","CLE","-","-","-","-","-","-","1.3","-","-","-","-","-","BYE","-","-","-","-","-","1.3","1.3"
"158","Jacques Patrick","RB","NYJ","-","-","-","1.2","-","BYE","-","-","-","-","-","-","-","-","-","-","-","-","1.2","1.2"
"159","Mekhi Sargent","RB","FA","0.2","-","0.2","-","0","-","-","-","-","-","-","-","0.5","-","-","-","-","0.2","0.2","1.1"
"159","Buddy Howell","RB","FA","-","-","-","0","-","-","0","1.1","0","-","-","0","-","-","-","-","-","-","0.2","1.1"
"161","Khari Blasingame","RB","CHI","0","-","-","-","-","0","-","-","-","BYE","-","-1.4","-","-","-","0.9","-","1.5","0.2","1"
"162","Damarea Crockett","RB","FA","-","-","0.7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.7","0.7"
"163","Jake Funk","RB","DET","0","0","0.6","-","-","0","-","-","BYE","-","-","-","-","-","-","-0.1","-","-","0.1","0.5"
"164","Nathan Cottrell","RB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.3","0","0","0.1","0.3"
"165","Elijah McGuire","RB","FA","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","0","0","0","0"
"165","Darwin Thompson","RB","FA","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","0","-","0","0"
"165","Josh Johnson","RB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0"
"165","Nick Ralston","RB","FA","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"165","Artavis Pierce","RB","FA","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"165","Kenjon Barner","RB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
"165","Tory Carter","RB","FA","-","-","0","-","-","-","-","0","-","0","0","0","-","-","-","-","-","-","0","0"
"165","Brian Hill","RB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","-","0","0"
"165","Tarik Cohen","RB","CAR","0","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","0","0"
"165","Cullen Gillaspia","RB","FA","-","-","0","-","-","0","0","-","-","-","-","-","-","-","-","-","-","0","0","0"
"165","Jordan Wilkins","RB","FA","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0"
"165","Taiwan Jones","RB","FA","-","0","-","-","-","-","-","0","0","0","-","0","-","-","-","-","0","0","0","0"
"165","J.K. Dobbins","RB","BAL","-","-","-","0","-","-","-","BYE","-","-","-","-","-","-","-","-","-","-","0","0"
"165","Sandro Platzgummer","RB","FA","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","-","-","-","0","0"
"165","Pooka Williams Jr.","RB","FA","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","0","0"
"165","Gerrid Doaks","RB","FA","-","0","-","-","0","-","-","-","0","-","0","-","-","-","-","-","-","-","0","0"
"165","LeVante Bellamy","RB","FA","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","0","0"
"165","Brandin Bryant","RB","FA","-","-","-","-","-","-","-","-","-","-","-","0","-","0","0","-","-","-","0","0"
"165","B.J. Emmons","RB","FA","-","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","0","0"
"165","Darius Bradwell","RB","FA","-","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","0","-","0","0"
"165","Trey Edmunds","RB","FA","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","0","0"
"165","Sewo Olonilua","RB","FA","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"165","Spencer Brown","RB","CAR","0","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","0","0"
"188","Nate McCrary","RB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-0.1","-","-","-","-","-","-0.1","-0.1"
"189","Trenton Cannon","RB","FA","0.5","-0.1","0","-2","0","-","0","0","0","0","0","-","-","-","-","-","-","-","-0.2","-1.6"
""
""
