"RB","Overall","Player","Team","Bye","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","1","Christian McCaffrey","SF","6 ","1","1","1","1","","1.0"
"2","2","Dalvin Cook","BAL","8","2","2","2","2","","2.0"
"3","3","Alvin Kamara","NO","6","3","3","4","3","","3.2"
"4","4","Derrick Henry","TEN","13","4","4","3","4","","3.8"
"5","5","Ezekiel Elliott","NE","14","6","5","7","5","","5.5"
"6","8","Aaron Jones","GB","13","7","9","6","9","","7.2"
"7","10","Austin Ekeler","LAC","7","10","10","5","7","","7.8"
"8","9","Saquon Barkley","NYG","10","5","7","8","8","","8.0"
"9","12","Nick Chubb","CLE","13","9","6","9","10","","8.3"
"10","11","Jonathan Taylor","IND","14","8","8","10","6","","8.5"
"11","15","Najee Harris","PIT","7","11","11","11","12","","10.8"
"12","17","Antonio Gibson","WAS","9","12","13","12","11","","11.8"
"13","21","Joe Mixon","CIN","10","13","12","13","13","","13.0"
"14","25","Clyde Edwards-Helaire","KC","12","14","14","14","14","","14.0"
"15","30","David Montgomery","DET","9","16","18","15","15","","15.3"
"16","32","Chris Carson ","","","18","17","16","17","","16.5"
"17","34","James Robinson","N","6 O","15","19","21","16","","17.5"
"18","37","D'Andre Swift","PHI","14","20","16","17","18","","18.3"
"19","36","Josh Jacobs","LV","8","19","15","18","19","","18.3"
"20","38","Miles Sanders","CAR","13","17","20","19","20","","19.2"
"21","48","Myles Gaskin","MIN","7","24","23","23","23","","22.2"
"22","56","Mike Davis","","","26","25","20","22","","22.3"
"23","57","Kareem Hunt","CLE","13","23","22","22","28","","24.7"
"24","62","Chase Edmonds","TB","9","22","27","26","26","","25.2"
"25","60","Javonte Williams","DEN","11","25","24","27","24","","25.7"
"26","59","Darrell Henderson Jr.","","","27","21","25","25","","25.7"
"27","65","Gus Edwards","BAL","8 ","21","26","32","21","","26.8"
"28","67","Raheem Mostert","MIA","14 ","29","28","28","29","","27.5"
"29","71","Damien Harris","BUF","7","28","33","34","27","","28.5"
"30","79","Melvin Gordon III","","","33","29","29","32","","30.7"
"31","83","Trey Sermon","IND","14","36","31","35","30","","32.3"
