"TE","Overall","Player","Team","Bye","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","14","Travis Kelce","KC","8","1","1","1","1","","1.0"
"2","23","Mark Andrews","BAL","10","2","2","2","2","","2.0"
"3","32","Kyle Pitts","ATL","14 ","3","3","3","3","","3.0"
"4","38","George Kittle","SF","9","4","4","4","4","","4.0"
"5","44","Darren Waller","NYG","9","5","5","5","5","","5.0"
"6","55","Dalton Schultz","HOU","6","6","6","7","6","","6.3"
"7","69","Dallas Goedert","PHI","7","8","8","6","8","","7.3"
"8","65","T.J. Hockenson","MIN","7","7","7","8","7","","7.3"
"9","90","Zach Ertz ","","","9","9","10","9","","9.3"
"10","91","Dawson Knox","BUF","7","10","10","9","10","","9.7"
"11","106","Pat Freiermuth","PIT","9","11","11","11","11","","11.0"
"12","117","Cole Kmet","CHI","14","12","13","15","12","","13.0"
"13","125","Hunter Henry","NE","10","13","15","14","13","","13.3"
"14","124","Mike Gesicki","NE","10","14","12","12","16","","14.0"
"15","158","Noah Fant","SEA","11","16","20","16","17","","16.3"
"16","152","Tyler Higbee","LAR","7","15","16","13","23","","17.0"
"17","156","David Njoku","CLE","9","17","17","20","18","","18.3"
"18","176","Robert Tonyan","CHI","14","23","19","19","15","","19.0"
"19","173","Irv Smith Jr.","CIN","10","18","18","","14","","16.0"
"20","186","Evan Engram","JAC","11","21","25","18","21","","20.0"
"21","166","Albert Okwuegbunam","PHI","7","20","14","21","19","","20.0"
"22","184","Gerald Everett","LAC","8","26","21","17","20","","21.0"
"23","196","Hayden Hurst","CAR","13","19","24","","24","","21.5"
"24","222","Logan Thomas","WAS","14","","29","22","22","","22.0"
"25","211","Taysom Hill","NO","14","24","23","23","29","","25.3"
"26","199","Austin Hooper","LV","6","22","22","","26","","24.0"
"27","230","Isaiah Likely","BAL","10","27","","","25","","26.0"
"28","248","Cameron Brate","","","","28","24","30","","27.0"
"29","246","Kyle Rudolph","","","25","26","","","","25.0"
"30","269","C.J. Uzomah","NYJ","10","","","25","","","25.0"
"31","275","Brevin Jordan","HOU","6","","","","27","","27.0"
"32","289","Mo Alie-Cox","IND","14","","","","28","","28.0"
""
""
