"WR","Overall","Player","Team","Bye","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","4","Tyreek Hill","MIA","10","1","3","4","2","","2.5"
"2","3","Ja'Marr Chase","CIN","7","3","2","2","3","","2.5"
"3","6","Stefon Diggs","BUF","13","4","4","5","4","","4.3"
"4","7","Justin Jefferson","MIN","13","15","1","1","1","","4.5"
"5","9","A.J. Brown","PHI","10","2","6","7","8","","5.8"
"6","11","CeeDee Lamb","DAL","7","7","5","8","6","","6.5"
"7","13","Amon-Ra St. Brown","DET","9","6","9","10","5","","7.5"
"8","15","Davante Adams","LV","13","8","7","6","10","","7.8"
"9","17","Cooper Kupp","LAR","10","9","8","3","17","","9.3"
"10","20","Garrett Wilson","NYJ","7","14","10","9","11","","11.0"
"11","23","Jaylen Waddle","MIA","10","11","11","11","13","","11.5"
"12","24","Chris Olave","NO","11","22","12","14","9","","14.3"
"13","28","Keenan Allen","LAC","5","5","18","21","18","","15.5"
"14","27","DK Metcalf","SEA","5","16","15","15","16","","15.5"
"15","32","DeVonta Smith","PHI","10","25","14","12","12","","15.8"
"16","39","Calvin Ridley","JAC","9","33","16","16","7","","18.0"
"17","37","Deebo Samuel","SF","9","24","17","17","15","","18.3"
"18","40","Tee Higgins","CIN","7","30","13","13","19","","18.8"
"19","43","DeAndre Hopkins","TEN","7","20","20","23","21","","21.0"
"20","44","DJ Moore","CHI","13","17","21","18","29","","21.3"
"21","49","Brandon Aiyuk","SF","9","18","26","30","14","","22.0"
"22","52","Amari Cooper","CLE","5","36","19","19","20","","23.5"
"23","53","Terry McLaurin","WAS","14","27","22","20","26","","23.8"
"24","54","Mike Evans","TB","5","10","33","29","28","","25.0"
"25","63","Michael Pittman Jr.","IND","11","26","28","33","22","","27.3"
"26","66","Christian Watson","GB","6","40","24","24","25","","28.3"
"27","70","Chris Godwin","TB","5","34","25","31","27","","29.3"
"28","73","Jerry Jeudy","DEN","9","45","31","25","24","","31.3"
"29","76","Tyler Lockett","SEA","5","38","27","27","33","","31.3"
"30","75","Christian Kirk","JAC","9 ","32","30","28","35","","31.3"
"31","77","Drake London","ATL","11","44","23","26","36","","32.3"
"32","80","George Pickens","PIT","6","35","32","39","31","","34.3"
"33","79","Jordan Addison","MIN","13","31","37","37","32","","34.3"
"34","83","Zay Flowers","BAL","13","21","42","50","30","","35.8"
"35","84","Marquise Brown","ARI","14 ","23","34","45","46","","37.0"
"36","88","Diontae Johnson","PIT","6","41","35","34","38","","37.0"
"37","95","Jahan Dotson","WAS","14","57","38","36","34","","41.3"
"38","100","Jakobi Meyers","LV","13","19","57","56","37","","42.3"
"39","107","Mike Williams","LAC","5 ","95","29","22","23","","42.3"
"40","97","Courtland Sutton","DEN","9","37","48","47","40","","43.0"
"41","98","Gabe Davis","BUF","13","46","43","42","44","","43.8"
"42","103","Jaxon Smith-Njigba","SEA","5","58","36","44","39","","44.3"
"43","102","Brandin Cooks","DAL","7","49","40","38","50","","44.3"
"44","101","Michael Thomas","NO","11","53","39","46","41","","44.8"
"45","116","Kadarius Toney","KC","10","65","41","32","51","","47.3"
"46","109","Treylon Burks","TEN","7","54","46","40","49","","47.3"
"47","126","Nico Collins","HOU","7","28","66","64","45","","50.8"
"48","127","Elijah Moore","CLE","5","50","49","65","48","","53.0"
"49","130","Adam Thielen","CAR","7","12","51","54","","","39.0"
"50","136","Odell Beckham Jr.","BAL","13","42","47","35","","","41.3"
"51","149","Zay Jones","JAC","9","76","61","55","47","","59.8"
"52","148","Puka Nacua","LAR","10","13","90","","42","","48.3"
"53","154","Skyy Moore","KC","10","84","52","57","52","","61.3"
"54","152","JuJu Smith-Schuster","NE","11","64","45","43","","","50.7"
"55","163","Romeo Doubs","GB","6","78","60","69","43","","62.5"
"56","172","Rashee Rice","KC","10","43","56","61","","","53.3"
"57","162","Tyler Boyd","CIN","7","55","55","52","","","54.0"
"58","166","Jameson Williams","DET","9","62","53","48","","","54.3"
"59","183","Michael Gallup","DAL","7","51","68","59","","","59.3"
"60","192","Jalin Hyatt","NYG","13","74","59","51","","","61.3"
"61","199","Curtis Samuel","WAS","14","47","78","63","","","62.7"
"62","186","Quentin Johnston","LAC","5","100","44","49","","","64.3"
"63","184","Tank Dell","HU","7 O","29","65","","","","47.0"
"64","193","Rashod Bateman","BAL","13","","54","41","","","47.5"
"65","207","K.J. Osborn","MIN","13","59","75","62","","","65.3"
"66","200","Allen Lazard","NYJ","7","94","50","53","","","65.7"
"67","218","Marquez Valdes-Scantling","KC","10","70","73","60","","","67.7"
"68","223","DJ Chark Jr.","CAR","7","73","69","67","","","69.7"
"69","217","Jonathan Mingo","CAR","7","91","62","58","","","70.3"
"70","216","Darnell Mooney","CHI","13","85","58","68","","","70.3"
"71","233","Jayden Reed","GB","6","67","77","71","","","71.7"
"72","215","Rondale Moore","ARI","14","61","63","","","","62.0"
"73","232","Josh Downs","IND","11","48","82","","","","65.0"
"74","234","Robert Woods","HOU","7","52","81","","","","66.5"
"75","242","Joshua Palmer","LAC","5","39","","","","","39.0"
"76","255","Chase Claypool","MIA","10","77","83","75","","","78.3"
"77","269","Darius Slayton","NYG","13","68","","74","","","71.0"
"78","252","Donovan Peoples-Jones","DET","9","","72","70","","","71.0"
"79","257","Hunter Renfrow","LV","13","","74","72","","","73.0"
"80","273","Isaiah Hodgins","NYG","13","","79","73","","","76.0"
"81","268","DeVante Parker","NE","11","","87","66","","","76.5"
"82","264","Kendrick Bourne","NE","11 ","56","","","","","56.0"
"83","275","Josh Reynolds","DET","9","60","","","","","60.0"
"84","276","Julio Jones","PHI","10","63","","","","","63.0"
"85","266","Marvin Mims Jr.","DEN","9","","64","","","","64.0"
"86","288","Braxton Berrios","MIA","10","66","","","","","66.0"
"87","261","Justyn Ross","KC","10","","67","","","","67.0"
"88","300","Antonio Brown","","","69","","","","","69.0"
"89","284","Van Jefferson","ATL","11","","70","","","","70.0"
"90","303","Olamide Zaccheaus","PHI","10","71","","","","","71.0"
"91","270","Alec Pierce","IND","11","","71","","","","71.0"
"92","306","Tutu Atwell","LAR","10","72","","","","","72.0"
"93","302","Michael Wilson","ARI","14","80","92","","","","86.0"
"94","314","Robbie Chosen","MIA","10","75","","","","","75.0"
"95","295","John Metchie III","HOU","7","","76","","","","76.0"
"96","305","Wan'Dale Robinson","NYG","13","86","89","","","","87.5"
"97","322","Ray-Ray McCloud III","SF","9","79","","","","","79.0"
"98","277","Mecole Hardman Jr.","KC","10","","80","","","","80.0"
"99","326","Ronnie Bell","SF","9","81","","","","","81.0"
"100","327","KaVontae Turpin","DAL","7","82","","","","","82.0"
"101","330","Cedrick Wilson Jr.","MIA","10","83","","","","","83.0"
"102","307","Rashid Shaheed","NO","11","","84","","","","84.0"
"103","287","Parris Campbell","NYG","13","","85","","","","85.0"
"104","319","Henry Litwin","","","","86","","","","86.0"
"105","328","Quez Watkins","PHI","10","87","","","","","87.0"
"106","343","Jauan Jennings","SF","9","88","","","","","88.0"
"107","348","Britain Covey","PHI","10","89","","","","","89.0"
"108","350","Jalen Brooks","DAL","7","90","","","","","90.0"
"109","361","Jalen Tolbert","DAL","7","92","","","","","92.0"
"110","367","River Cracraft","MIA","10","93","","","","","93.0"
"111","355","Khalil Shakir","BUF","13","","93","","","","93.0"
"112","357","Allen Robinson II","PIT","6","","94","","","","94.0"
"113","359","Tyquan Thornton","NE","11","","95","","","","95.0"
"114","397","Mike Thomas","","","96","","","","","96.0"
"115","372","Terrace Marshall Jr.","CAR","7","","96","","","","96.0"
"116","383","Malik Flowers","","","","97","","","","97.0"
"117","406","Pharoh Cooper","","","","98","","","","98.0"
"118","413","Xavier Gipson","NYJ","7","98","","","","","98.0"
"119","412","DaeSean Hamilton","","","","99","","","","99.0"
"120","416","Justin Watson","KC","10","99","","","","","99.0"
""
""
