"QB","Overall","Player","Team","Bye","ESPN","Yahoo","CBS","Sleeper","RTSports","AVG"
"1","13","Patrick Mahomes II","KC","12","1","1","","1","1","1.0"
"2","26","Josh Allen","BUF","7","2","2","","2","2","2.0"
"3","37","Kyler Murray","ARI","12","3","4","","3","3","3.4"
"4","40","Lamar Jackson","BAL","8","4","3","","4","4","3.6"
"5","46","Aaron Rodgers","NYJ","6","5","7","","6","6","5.2"
"6","53","Dak Prescott","DAL","7","6","6","","7","5","6.2"
"7","50","Russell Wilson","DEN","11","7","5","","5","7","6.6"
"8","59","Justin Herbert","LAC","7","8","8","","8","8","8.0"
"9","68","Tom Brady","","","9","9","","9","9","9.0"
"10","81","Matthew Stafford","LAR","11","10","12","","10","11","10.2"
"11","85","Ryan Tannehill","TEN","13","12","11","","11","10","11.2"
"12","96","Jalen Hurts","PHI","14","11","10","","12","12","11.6"
"13","107","Joe Burrow","CIN","10","13","13","","13","13","13.0"
"14","130","Baker Mayfield","TB","9 ","14","15","","15","19","15.6"
"15","129","Matt Ryan","","","18","20","","18","14","16.0"
"16","128","Trevor Lawrence","JAC","7","15","17","","14","15","16.0"
"17","138","Justin Fields","CHI","10","17","25","","16","17","17.6"
"18","150","Kirk Cousins","MIN","7","23","22","","20","16","19.6"
"19","153","Ben Roethlisberger","","","19","19","","23","21","19.6"
"20","142","Trey Lance","DAL","7","20","29","","17","18","20.4"
"21","163","Tua Tagovailoa","MIA","14","16","23","","24","20","21.2"
"22","152","Jameis Winston","N","6 O","21","26","","19","22","22.0"
"23","190","Derek Carr","NO","6","25","21","","27","24","23.6"
"24","161","Mac Jones","NE","14","22","18","","21","28","24.0"
"25","168","Ryan Fitzpatrick ","","","24","31","","26","25","24.6"
"26","200","Zach Wilson","NYJ","6","26","27","","22","27","26.6"
"27","204","Deshaun Watson","CLE","13","28","24","","25","36","28.0"
"28","233","Carson Wentz","LAR","11","31","30","","30","23","29.4"
"29","329","Teddy Bridgewater","","","29","16","","91","31","27.8"
"30","256","Daniel Jones","NYG","10 ","27","32","","29","29","29.0"
"31","307","Cam Newton","","","33","14","","89","","26.3"
"32","265","Sam Darnold","SF","6","32","28","","28","26","29.8"
"33","327","Jared Goff","DET","9","30","","","88","32","32.0"
"34","245","Taysom Hill","NO","6","","","","87","37","31.5"
"35","298","Tyrod Taylor","NYG","10","","","","92","33","31.5"
"36","286","Drew Lock","SEA","9","","","","122","35","32.0"
"37","334","Jimmy Garoppolo","LV","8","","","","101","30","33.5"
"38","","Andy Dalton","CAR","13","","","","124","34","34.0"
"39","382","Marcus Mariota","PHI","14","","","","128","","38.0"
"40","406","Jordan Love","GB","13","","","","114","","39.0"
""
""
