"WR","Overall","Player","Team","Bye","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","4","Cooper Kupp","LAR","7 ","1","1","1","2","","1.3"
"2","6","Justin Jefferson","MIN","7","2","2","2","1","","1.7"
"3","9","Ja'Marr Chase","CIN","10","3","3","3","3","","3.0"
"4","11","Davante Adams","LV","6","4","5","4","5","","4.3"
"5","12","Stefon Diggs","BUF","7","5","4","5","4","","4.7"
"6","16","Deebo Samuel","SF","9","6","8","6","6","","6.0"
"7","19","Tyreek Hill","MIA","11","7","7","7","8","","7.3"
"8","18","CeeDee Lamb","DAL","9","8","6","8","7","","7.7"
"9","26","Mike Evans","TB","11","10","9","9","9","","9.3"
"10","27","Keenan Allen","LAC","8","9","10","10","12","","10.3"
"11","31","A.J. Brown","PHI","7","14","11","11","10","","11.7"
"12","34","Tee Higgins","CIN","10","11","12","12","13","","12.0"
"13","33","Michael Pittman Jr.","IND","14","12","13","13","11","","12.0"
"14","42","DJ Moore","CHI","14","13","15","21","14","","16.0"
"15","40","Terry McLaurin","WAS","14","15","14","16","18","","16.3"
"16","43","Diontae Johnson","PIT","9","17","17","15","17","","16.3"
"17","45","Mike Williams","LAC","8","16","20","18","16","","16.7"
"18","46","Jaylen Waddle","MIA","11","18","16","17","21","","18.7"
"19","47","DK Metcalf","SEA","11","19","19","14","24","","19.0"
"20","54","Brandin Cooks","DAL","9","20","25","19","23","","20.7"
"21","61","Amon-Ra St. Brown","DET","6","24","28","26","19","","23.0"
"22","56","Courtland Sutton","DEN","9","22","18","34","15","","23.7"
"23","59","Chris Godwin","TB","11","25","26","20","27","","24.0"
"24","66","Gabe Davis","BUF","7","26","32","27","20","","24.3"
"25","58","Marquise Brown","ARI","13","23","24","24","26","","24.3"
"26","60","Allen Robinson II","PIT","9 ","29","22","22","25","","25.3"
"27","64","Jerry Jeudy","DEN","9","21","21","29","33","","27.7"
"28","68","Amari Cooper","CLE","9","30","23","23","31","","28.0"
"29","72","Darnell Mooney","CHI","14 ","27","31","38","22","","29.0"
"30","71","Adam Thielen","CAR","13","33","30","28","28","","29.7"
"31","73","JuJu Smith-Schuster","NE","10","28","29","32","30","","30.0"
"32","80","DeAndre Hopkins","TEN","6","40","34","25","34","","33.0"
"33","75","Michael Thomas","N","14 O","31","27","39","29","","33.0"
"34","79","Hunter Renfrow","LV","6","32","35","31","41","","34.7"
"35","92","Elijah Moore","CLE","9","38","38","33","35","","35.3"
"36","89","Rashod Bateman","BAL","10 ","35","33","41","32","","36.0"
"37","93","DeVonta Smith","PHI","7","36","36","36","38","","36.7"
"38","96","Tyler Lockett","SEA","11","37","41","30","45","","37.3"
"39","100","Christian Kirk","JAC","11","34","43","43","36","","37.7"
"40","97","Brandon Aiyuk","SF","9","42","40","35","40","","39.0"
"41","102","Robert Woods","HOU","6","44","45","37","39","","40.0"
"42","98","Drake London","ATL","14","39","37","40","42","","40.3"
"43","103","Allen Lazard","NYJ","10","41","39","47","37","","41.7"
"44","107","Chris Olave","NO","14","43","42","44","43","","43.3"
"45","111","Chase Claypool","MIA","11","45","47","42","48","","45.0"
"46","115","Kadarius Toney","KC","8","46","48","45","47","","46.0"
"47","120","George Pickens","PIT","9","56","46","50","44","","50.0"
"48","143","Russell Gage","TB","11","52","60","46","55","","51.0"
"49","136","Michael Gallup","DAL","9","53","55","51","49","","51.0"
"50","126","Treylon Burks","TEN","6","54","44","55","46","","51.7"
"51","145","DJ Chark Jr.","CAR","13","55","61","49","52","","52.0"
"52","133","Tyler Boyd","CIN","10","49","52","57","51","","52.3"
"53","134","Garrett Wilson","NYJ","10","47","50","54","58","","53.0"
"54","140","Skyy Moore","KC","8","51","51","60","50","","53.7"
"55","148","Marquez Valdes-Scantling","KC","8","48","53","58","61","","55.7"
"56","157","Jakobi Meyers","LV","6","50","62","64","53","","55.7"
"57","141","Julio Jones","PHI","7","60","49","53","54","","55.7"
"58","153","Jarvis Landry ","","","57","54","62","56","","58.3"
"59","163","Mecole Hardman Jr.","KC","8","65","66","48","64","","59.0"
"60","155","DeVante Parker","NE","10","62","56","56","63","","60.3"
"61","175","Isaiah McKenzie","IND","14","67","63","59","59","","61.7"
"62","171","Jahan Dotson","WAS","14","58","58","74","57","","63.0"
"63","174","Romeo Doubs","GB","14","64","57","66","60","","63.3"
"64","182","Rondale Moore","ARI","13 ","68","59","68","62","","66.0"
"65","194","Joshua Palmer","LAC","8","61","72","","67","","64.0"
"66","225","Van Jefferson","ATL","14","","81","52","87","","69.5"
"67","193","Odell Beckham Jr.","BAL","10","71","69","67","70","","69.3"
"68","202","Christian Watson","GB","14","","64","63","71","","67.0"
"69","203","Marvin Jones Jr.","","","59","80","","76","","67.5"
"70","206","Nico Collins","HU","6 O","70","73","","65","","67.5"
"71","198","Robbie Chosen","MIA","11","63","78","","74","","68.5"
"72","241","Corey Davis","","","","","61","78","","69.5"
"73","201","Kenny Golladay","","","66","70","73","79","","72.7"
"74","244","A.J. Green","","","","77","65","","","65.0"
"75","218","Jameson Williams","DET","6","","67","69","72","","70.5"
"76","200","Jalen Tolbert","DAL","9","69","68","75","73","","72.3"
"77","223","Alec Pierce","IND","14","","71","","66","","66.0"
"78","213","Sammy Watkins","","","72","65","71","77","","73.3"
"79","243","Parris Campbell","NYG","9","","84","","68","","68.0"
"80","234","Wan'Dale Robinson","NYG","9 ","","74","","69","","69.0"
"81","250","Randall Cobb","NYJ","10","","79","70","","","70.0"
"82","257","Kendrick Bourne","NE","10","","","72","80","","76.0"
"83","236","K.J. Osborn","MIN","7","","75","","75","","75.0"
"84","263","David Bell","CLE","9","","83","","81","","81.0"
"85","255","KJ Hamler","BUF","7 ","","76","","82","","82.0"
"86","296","Braxton Berrios","MIA","11","","","","83","","83.0"
"87","299","Zay Jones","JAC","11","","","","84","","84.0"
"88","260","Donovan Peoples-Jones","DET","6","","82","","85","","85.0"
"89","317","Sterling Shepard","NYG","9 ","","","","86","","86.0"
"90","277","Curtis Samuel","WAS","14","","85","","88","","88.0"
"91","329","Laviska Shenault Jr.","CAR","13","","","","89","","89.0"
"92","302","Marquez Callaway","PIT","9","","","","90","","90.0"
""
""
