"RB","Overall","Player","Team","Bye","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","1","Christian McCaffrey","SF","9","1","1","1","1","","1.0"
"2","2","Austin Ekeler","LAC","5","3","2","2","3","","2.5"
"3","8","Bijan Robinson","ATL","11","7","3","4","2","","4.0"
"4","10","Saquon Barkley","NYG","13","8","4","3","5","","5.0"
"5","12","Tony Pollard","DAL","7","2","8","8","6","","6.0"
"6","16","Josh Jacobs","LV","13","6","7","6","7","","6.5"
"7","19","Derrick Henry","TEN","7","10","6","9","8","","8.3"
"8","22","Travis Etienne Jr.","JAC","9","4","11","13","9","","9.3"
"9","29","Rhamondre Stevenson","NE","11","19","10","11","10","","12.5"
"10","26","Breece Hall","NYJ","7","15","14","10","15","","13.5"
"11","34","Jahmyr Gibbs","DET","9","17","12","14","11","","13.5"
"12","31","Joe Mixon","CIN","7","14","13","17","12","","14.0"
"13","33","Kenneth Walker III","SEA","5","9","16","18","14","","14.3"
"14","30","Jonathan Taylor","IND","11","13","17","5","23","","14.5"
"15","47","Nick Chubb","CLE","5 ","47","5","7","4","","15.8"
"16","42","Najee Harris","PIT","6","29","9","12","13","","15.8"
"17","41","Aaron Jones","GB","6","23","15","15","17","","17.5"
"18","45","Alvin Kamara","NO","11","5","23","23","26","","19.3"
"19","48","D'Andre Swift","PHI","10","11","22","26","21","","20.0"
"20","56","Miles Sanders","CAR","7","35","19","16","18","","22.0"
"21","59","Dameon Pierce","HOU","7","31","18","21","19","","22.3"
"22","55","Isiah Pacheco","KC","10","12","27","25","29","","23.3"
"23","61","James Cook","BUF","13","21","30","30","16","","24.3"
"24","60","Rachaad White","TB","5","20","28","27","22","","24.3"
"25","65","Alexander Mattison","MIN","13","25","21","29","25","","25.0"
"26","69","James Conner","ARI","14","32","24","24","24","","26.0"
"27","71","Javonte Williams","DEN","9","28","29","28","20","","26.3"
"28","68","David Montgomery","DET","9","16","31","33","27","","26.8"
"29","87","Cam Akers","MIN","13 ","44","25","20","33","","30.5"
"30","89","Dalvin Cook","BAL","13","51","26","19","30","","31.5"
"31","90","Khalil Herbert","CHI","13","30","36","35","31","","33.0"
"32","93","Brian Robinson Jr.","WAS","14","34","34","40","28","","34.0"
"33","94","AJ Dillon","GB","6","42","32","31","32","","34.3"
"34","99","Raheem Mostert","MIA","10","18","45","47","34","","36.0"
"35","96","De'Von Achane","MIA","10","22","42","39","42","","36.3"
"36","120","Antonio Gibson","WAS","14","57","33","42","36","","42.0"
"37","118","Jamaal Williams","NO","11","63","35","32","39","","42.3"
"38","123","Tyler Allgeier","ATL","11","38","47","49","35","","42.3"
"39","119","Zach Charbonnet","SEA","5","53","37","34","46","","42.5"
"40","122","Samaje Perine","DEN","9","52","39","36","43","","42.5"
"41","125","Ezekiel Elliott","NE","11","43","40","44","49","","44.0"
"42","134","Jaylen Warren","PIT","6","33","49","55","40","","44.3"
"43","135","Elijah Mitchell","SF","9","50","44","41","51","","46.5"
"44","132","Jerick McKinnon","KC","10","58","41","37","52","","47.0"
"45","156","J.K. Dobbins","BAL","13 ","100","20","22","","","47.3"
"46","157","Kenneth Gainwell","PHI","10","46","52","57","45","","50.0"
"47","159","Roschon Johnson","CHI","13","45","55","65","41","","51.5"
"48","158","Gus Edwards","BAL","13","36","64","63","44","","51.8"
"49","168","Devin Singletary","HOU","7","37","50","45","","","44.0"
"50","153","Rashaad Penny","PHI","10","66","38","51","55","","52.5"
"51","164","Tyjae Spears","TEN","7","39","57","64","50","","52.5"
"52","167","Kyren Williams","LAR","10","24","","","38","","31.0"
"53","175","Chuba Hubbard","CAR","7","49","58","59","56","","55.5"
"54","169","Zack Moss","IND","11","27","65","","53","","48.3"
"55","182","Tank Bigsby","JAC","9","","43","61","48","","50.7"
"56","174","Damien Harris","BUF","13","","46","53","54","","51.0"
"57","198","Justice Hill","BAL","13","41","","","47","","44.0"
"58","208","Deuce Vaughn","DAL","7","64","48","54","","","55.3"
"59","220","Kareem Hunt","CLE","5","48","53","67","","","56.0"
"60","214","D'Onta Foreman","CHI","13","67","51","50","","","56.0"
"61","196","Joshua Kelley","LAC","5","56","76","","37","","56.3"
"62","210","Jerome Ford","CLE","5","26","66","","","","46.0"
"63","219","Kendre Miller","NO","11","","54","43","","","48.5"
"64","229","Jeff Wilson Jr.","MIA","10","60","","38","","","49.0"
"65","226","Clyde Edwards-Helaire","KC","10","68","56","52","","","58.7"
"66","243","Latavius Murray","BUF","13","40","","60","","","50.0"
"67","236","Cordarrelle Patterson","ATL","11","","60","46","","","53.0"
"68","258","Kyle Juszczyk","SF","9","54","","58","","","56.0"
"69","245","Leonard Fournette","","","","68","48","","","58.0"
"70","281","Chase Brown","CIN","7","","59","68","","","63.5"
"71","296","Boston Scott","PHI","10","62","","66","","","64.0"
"72","299","Zamir White","LV","13","","61","70","","","65.5"
"73","280","Rico Dowdle","DAL","7","55","","","","","55.0"
"74","297","Michael Carter","ARI","14","","77","56","","","66.5"
"75","308","Jaleel McLaughlin","DEN","9","59","","","","","59.0"
"76","311","Darrell Henderson Jr.","","","61","","","","","61.0"
"77","335","James Robinson","NO","11","","","62","","","62.0"
"78","301","Deon Jackson","NYG","13","","62","","","","62.0"
"79","304","Evan Hull","IND","11 ","","63","","","","63.0"
"80","375","Jordan Mason","SF","9","72","","69","","","70.5"
"81","323","Ke'Shawn Vaughn","NE","11","65","","","","","65.0"
"82","313","Ty Chandler","MIN","13","","67","","","","67.0"
"83","318","Bruce Anderson III","","","","69","","","","69.0"
"84","353","Owen Wright","BAL","13","69","","","","","69.0"
"85","354","Emari Demercado","ARI","14","70","","","","","70.0"
"86","374","Salvon Ahmed","MIA","10","71","","","","","71.0"
"87","","DeeJay Dallas","SEA","5","","","72","","","72.0"
"88","333","Keaontay Ingram","KC","10","","72","","","","72.0"
"89","","Ronald Jones II","","","","","73","","","73.0"
"90","334","Israel Abanikanda","NYJ","7","","73","","","","73.0"
"91","378","Ellis Merriweather","GB","6","73","","","","","73.0"
"92","379","Adrian Killins Jr.","","","74","","","","","74.0"
"93","524","Malik Davis","DAL","7","","","74","","","74.0"
"94","341","DeWayne McBride","MIN","13","94","74","","","","84.0"
"95","381","Royce Freeman","LAR","10","75","","","","","75.0"
"96","","Trayveon Williams","CIN","7","","","75","","","75.0"
"97","344","Zach Evans","LAR","10","97","75","","","","86.0"
"98","392","Deneric Prince","KC","10","76","","","","","76.0"
"99","418","Elijah Holyfield","","","77","","","","","77.0"
"100","368","Pierre Strong Jr.","CLE","5","","78","","","","78.0"
"101","421","SaRodorick Thompson Jr.","DAL","7","79","","","","","79.0"
"102","389","Darius Jackson","","","","80","","","","80.0"
"103","422","Jermar Jefferson","DET","9","80","","","","","80.0"
"104","425","J.J. Taylor","HOU","7","81","","","","","81.0"
"105","427","Dare Ogunbowale","HOU","7","82","","","","","82.0"
"106","429","Derek Watt","","","83","","","","","83.0"
"107","431","Chris Carson","","","84","","","","","84.0"
"108","433","Jordan Mims","NO","11","85","","","","","85.0"
"109","434","Hunter Luepke","DAL","7","86","","","","","86.0"
"110","440","Le'Veon Bell","","","87","","","","","87.0"
"111","442","Rex Burkhead","","","88","","","","","88.0"
"112","456","Lew Nichols III","PHI","10","90","","","","","90.0"
"113","459","Kalen Ballage","","","91","","","","","91.0"
"114","462","Jashaun Corbin","NYG","13","92","","","","","92.0"
"115","466","Keaton Mitchell","BAL","13 ","93","","","","","93.0"
"116","493","Reggie Gilliam","BUF","13","95","","","","","95.0"
"117","497","Jeremy McNichols","","","96","","","","","96.0"
"118","507","Jordan Scarlett","","","98","","","","","98.0"
"119","512","Craig Reynolds","DET","9","99","","","","","99.0"
""
""
