"TE","Overall","Player","Team","Bye","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","5","Travis Kelce","KC","10","1","1","1","1","","1.0"
"2","25","Mark Andrews","BAL","13","4","2","2","2","","2.5"
"3","35","T.J. Hockenson","MIN","13 ","2","4","4","3","","3.3"
"4","46","George Kittle","SF","9","5","3","3","5","","4.0"
"5","58","Darren Waller","NYG","13","9","5","5","4","","5.8"
"6","64","Dallas Goedert","PHI","10","7","6","7","7","","6.8"
"7","67","Kyle Pitts","ATL","11","12","7","6","6","","7.8"
"8","74","Evan Engram","JAC","9","6","8","9","9","","8.0"
"9","86","David Njoku","CLE","5","11","10","8","10","","9.8"
"10","129","Dalton Schultz","HOU","7","8","11","11","13","","10.8"
"11","106","Pat Freiermuth","PIT","6","17","9","13","8","","11.8"
"12","108","Dalton Kincaid","BUF","13","10","13","15","11","","12.3"
"13","113","Sam LaPorta","DET","9","3","16","23","15","","14.3"
"14","150","Cole Kmet","CHI","13","14","12","14","17","","14.3"
"15","160","Tyler Higbee","LAR","10","18","14","16","14","","15.5"
"16","170","Chigoziem Okonkwo","TEN","7","15","15","19","16","","16.3"
"17","171","Gerald Everett","LAC","5","22","19","12","20","","18.3"
"18","188","Taysom Hill","NO","11","20","21","20","30","","22.8"
"19","203","Juwan Johnson","NO","11","","22","10","12","","14.7"
"20","205","Dawson Knox","BUF","13","31","17","17","31","","24.0"
"21","213","Greg Dulcich","DEN","9","","18","18","18","","18.0"
"22","248","Mike Gesicki","NE","11","33","29","21","22","","26.3"
"23","227","Tyler Conklin","NYJ","7","25","28","24","29","","26.5"
"24","195","Zach Ertz","","","37","25","22","25","","27.3"
"25","191","Jake Ferguson","DAL","7","13","24","","24","","20.3"
"26","202","Luke Musgrave","GB","6","21","23","","19","","21.0"
"27","265","Irv Smith Jr.","CIN","7","35","26","","21","","27.3"
"28","240","Trey McBride","ARI","14","16","30","","","","23.0"
"29","238","Michael Mayer","LV","13","","20","","28","","24.0"
"30","254","Hayden Hurst","CAR","7","","27","","26","","26.5"
"31","262","Noah Fant","SEA","5","","31","25","","","28.0"
"32","294","Isaiah Likely","BAL","13","45","34","","32","","37.0"
"33","293","Hunter Henry","NE","11","42","","","23","","32.5"
"34","331","Cade Otton","TB","5","","38","","27","","32.5"
"35","253","Logan Thomas","WAS","14","19","","","","","19.0"
"36","282","Durham Smythe","MIA","10","23","","","","","23.0"
"37","291","Jonnu Smith","ATL","11","24","","","","","24.0"
"38","310","Jack Stoll","PHI","10","26","","","","","26.0"
"39","312","Rob Gronkowski","","","27","","","","","27.0"
"40","315","Julian Hill","MIA","10","28","","","","","28.0"
"41","363","Luke Schoonmaker","DAL","7","29","","","","","29.0"
"42","365","Charlie Woerner","SF","9","30","","","","","30.0"
"43","382","Ross Dwelley","SF","9","32","","","","","32.0"
"44","325","Eric Ebron","","","","33","","","","33.0"
"45","395","Brock Wright","DET","9","34","","","","","34.0"
"46","332","Christian Trahan","","","","35","","","","35.0"
"47","366","Noah Gray","KC","10","36","","","","","36.0"
"48","337","Nikola Kalinic","LAR","10","","36","","","","36.0"
"49","345","John Mitchell","","","","37","","","","37.0"
"50","408","James Mitchell","DET","9","38","","","","","38.0"
"51","414","Brevin Jordan","HOU","7","39","","","","","39.0"
"52","364","Thomas Greaney","","","","39","","","","39.0"
"53","338","Jelani Woods","IND","11","","40","","","","40.0"
"54","417","Jake Tonges","SF","9","40","","","","","40.0"
"55","420","Tyler Kroft","MIA","10","41","","","","","41.0"
"56","386","Jared Cook","","","","42","","","","42.0"
"57","391","John FitzPatrick","ATL","11","","43","","","","43.0"
"58","438","Tucker Fisk","ATL","11","43","","","","","43.0"
"59","393","Troy Fumagalli","MIN","13","","44","","","","44.0"
"60","445","Blake Whiteheart","ARI","14","44","","","","","44.0"
"61","394","Josh Hill","","","","45","","","","45.0"
"62","396","Levine Toilolo","","","","46","","","","46.0"
"63","452","Tucker Kraft","GB","6","46","","","","","46.0"
"64","460","Quintin Morris","BUF","13","47","","","","","47.0"
"65","457","Kaden Smith","","","","48","","","","48.0"
"66","461","Stephen Sullivan","CAR","7","48","","","","","48.0"
"67","463","Luke Farrell","JAC","9","49","","","","","49.0"
"68","399","Nick Bowers","MIA","10","","49","","","","49.0"
"69","464","Jalen Wydermyer","","","50","","","","","50.0"
"70","402","Briley Moore","","","","50","","","","50.0"
"71","403","Ross Travis","","","","51","","","","51.0"
"72","405","Matt Bushman","KC","10","","52","","","","52.0"
"73","407","Jordan Matthews","CAR","7","","53","","","","53.0"
"74","410","Kahale Warring","","","","54","","","","54.0"
""
""
