"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfWRProjection","astroFullWRProjection"
"George Kittle","SF",12.3,0,0,0,5.3,57.4,0.7,0,3.1,3.1,12.6,15.2
"Dallas Goedert","PHI",11.7,0,0,0,6.5,66.3,0.3,0,3.7,3.7,11.7,14.9
"David Njoku","CLE",11,0,0,0,5.3,57.9,0.5,0,3,3,11.4,14.1
"Travis Kelce","KC",10.1,0,0,0,6,57.2,0.3,0,3.2,3.2,10.5,13.5
"Brock Bowers","LV",10,0,0,0,5.5,58.7,0.3,0,3.1,3.1,10.4,13.2
"Kyle Pitts","ATL",9.4,0,0,0,4.1,57.7,0.3,0,2.8,2.8,9.6,11.7
"Jonnu Smith","MIA",8.9,0,0,0,4.4,51.3,0.3,0,2.6,2.6,9.1,11.3
"T.J. Hockenson","MIN",8.8,0,0,0,4.8,47.8,0.3,0,2.6,2.6,9,11.4
"Pat Freiermuth","PIT",8.8,0,0,0,4.1,44.1,0.4,0,2.4,2.4,8.9,10.9
"Mark Andrews","BAL",8.8,0,0,0,4.2,40.3,0.5,0,2.2,2.2,9.1,11.2
"Cole Kmet","CHI",8.4,0,0,0,4.1,45.4,0.3,0,2.3,2.3,8.4,10.4
"Tyler Conklin","NYJ",8.2,0,0,0,4.5,37.8,0.4,0,2.3,2.3,8.4,10.7
"Evan Engram","JAC",8.2,0,0,0,5.2,41.9,0.3,0,2.5,2.5,8.6,11.2
"Hunter Henry","NE",8.1,0,0,0,3.8,47.7,0.3,0,2.4,2.4,8.5,10.4
"Tucker Kraft","GB",7.7,0,0,0,2.9,34.2,0.5,0,1.7,1.7,7.9,9.3
"Taysom Hill","NO",7.1,3.6,19.6,0.4,2.1,20.9,0.2,0.8,1.2,2,8.7,9.8
"Zach Ertz","WAS",7.1,0,0,0,3.8,38.7,0.3,0,2.1,2.1,7.6,9.5
"Mike Gesicki","CIN",6.8,0,0,0,3.6,39.6,0.2,0,2.1,2.1,7,8.8
"Dalton Schultz","HOU",6.6,0,0,0,3.6,32.9,0.3,0,1.8,1.8,6.9,8.7
"Dawson Knox","BUF",6.5,0,0,0,2.9,36.6,0.3,0,1.8,1.8,6.9,8.4
"Will Dissly","LAC",6.3,0,0,0,4,37.3,0.2,0,2.1,2.1,6.9,8.9
"AJ Barner","SEA",6.2,0,0,0,3.3,30.6,0.3,0,1.7,1.7,6.5,8.2
"Jake Ferguson","DAL",6,0,0,0,4.2,30.1,0.2,0,1.8,1.8,6.3,8.4
"Juwan Johnson","NO",5.1,0,0,0,2.2,30.6,0.2,0,1.5,1.5,5.4,6.5
"Chigoziem Okonkwo","TEN",4.4,0,0,0,2.2,25.1,0.2,0,1.3,1.3,4.8,5.9
"Brenton Strange","JAC",4.4,0,0,0,2.6,22.6,0.2,0,1.3,1.3,4.8,6.1
"Davis Allen","LAR",4.3,0,0,0,2.2,21.9,0.2,0,1.2,1.2,4.5,5.6
