"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfWRProjection","astroFullWRProjection"
"JaMarr Chase","CIN",15.4,0,0,0,5.9,85,0.7,0,4,4,15.6,18.6
"Garrett Wilson","NYJ",14.9,0.3,1.3,0,6.7,71.1,0.8,0,3.8,3.8,15.4,18.7
"Nico Collins","HOU",14.8,0,0,0,6.2,82.7,0.6,0,4,4,15,18.1
"Amon-Ra St Brown","DET",14.8,0,0,0,6.7,73.8,0.7,0,3.9,3.9,14.9,18.3
"George Pickens","PIT",14,0,0,0,5,88.5,0.5,0,3.8,3.8,14.3,16.9
"Cooper Kupp","LAR",13.8,0,0,0,7.2,75.2,0.5,0,4.1,4.1,14.1,17.7
"AJ Brown","PHI",13.8,0,0,0,4.6,87,0.5,0,3.7,3.7,14,16.3
"Justin Jefferson","MIN",13.6,0.1,0.6,0,5.7,78.8,0.5,0,3.8,3.8,13.8,16.6
"CeeDee Lamb","DAL",13,1.1,7.9,0.1,6.1,59.1,0.5,0.3,3.3,3.6,13.4,16.4
"Courtland Sutton","DEN",12.6,0,0,0,5.4,70.3,0.5,0,3.5,3.5,12.7,15.4
"Terry McLaurin","WAS",12.4,0,0,0,4.8,67.7,0.6,0,3.2,3.2,12.8,15.2
"Drake London","ATL",12.3,0,0,0,5.6,62.7,0.6,0,3.2,3.2,12.7,15.5
"Calvin Ridley","TEN",12.2,0.8,3.8,0,4.8,72.1,0.4,0.2,3.3,3.5,12.4,14.8
"DK Metcalf","SEA",12.1,0,0,0,4.4,68.3,0.6,0,3.1,3.1,12.6,14.8
"Jauan Jennings","SF",11.8,0,0,0,5.3,70,0.4,0,3.4,3.4,12.1,14.7
"Davante Adams","NYJ",11.6,0,0,0,5.8,59.7,0.5,0,3.3,3.3,11.9,14.8
"Puka Nacua","LAR",11.6,0.5,3.4,0,5.5,68.5,0.3,0.1,3.5,3.6,11.7,14.5
"Jameson Williams","DET",11.5,0.5,5,0,3.5,66.5,0.5,0.2,2.8,3,11.9,13.7
"Zay Flowers","BAL",11.4,0.6,4,0,5.2,64.8,0.4,0.2,3.2,3.4,11.9,14.5
"DeVonta Smith","PHI",11.4,0,0,0,5.1,56,0.6,0,3,3,11.8,14.3
"Ladd McConkey","LAC",11.2,0,0,0,4.3,57.7,0.6,0,2.8,2.8,11.5,13.7
"Jayden Reed","GB",11.1,1.1,11.8,0.1,3.6,59,0.3,0.5,2.6,3.1,11.3,13.1
"DeAndre Hopkins","KC",11.1,0,0,0,4.5,57.3,0.6,0,2.8,2.8,11.6,13.8
"Jaxon Smith-Njigba","SEA",11.1,0,0,0,5.5,57.3,0.5,0,3.1,3.1,11.5,14.2
"Darnell Mooney","ATL",10.9,0,0,0,4.2,62.1,0.5,0,2.9,2.9,11.3,13.4
"Cedric Tillman","CLE",10.8,0,0,0,4.4,58.9,0.5,0,2.8,2.8,11.1,13.3
"Tank Dell","HOU",10.8,0.8,3.6,0,4,51,0.6,0.2,2.5,2.7,11.1,13.1
"Deebo Samuel","SF",10.7,1.7,7.8,0.2,3.7,50.3,0.4,0.4,2.4,2.8,11.3,13.1
"Tee Higgins","CIN",10.6,0,0,0,5.2,55.9,0.4,0,3,3,10.6,13.2
"Tyreek Hill","MIA",10.3,0.9,4.7,0,4.4,65.7,0.4,0.2,3,3.2,11.6,13.8
"Jakobi Meyers","LV",10.1,0,0,0,4.9,58.1,0.3,0,3,3,10.1,12.5
"Brian Thomas Jr","JAC",10.1,0.2,1.9,0,4.1,49.3,0.5,0.1,2.5,2.6,10.2,12.2
"Quentin Johnston","LAC",9.4,0,0,0,3.3,50.5,0.5,0,2.3,2.3,9.7,11.4
"DJ Moore","CHI",9.3,0.5,2.3,0,4.4,45.8,0.4,0.1,2.4,2.5,9.4,11.6
"Josh Downs","IND",8.9,0.1,1.5,0,3.6,55.9,0.3,0.1,2.6,2.7,9.3,11.1
"Khalil Shakir","BUF",8.6,0,0,0,5.1,55,0.2,0,2.9,2.9,9.3,11.8
"Romeo Doubs","GB",8.4,0,0,0,3.6,52.5,0.2,0,2.4,2.4,8.3,10.1
"Amari Cooper","BUF",8.4,0,0,0,2.9,38,0.6,0,1.8,1.8,8.8,10.3
"Tyler Lockett","SEA",8.4,0,0,0,3.9,48.2,0.3,0,2.5,2.5,8.6,10.5
"Keenan Allen","CHI",8.1,0,0,0,4,38.8,0.4,0,2.2,2.2,8.3,10.3
"Ricky Pearsall","SF",8,0,0,0,4,49.5,0.2,0,2.5,2.5,8.2,10.2
"Jerry Jeudy","CLE",7.9,0,0,0,3,50.1,0.3,0,2.2,2.2,8.3,9.8
"Rashod Bateman","BAL",7.8,0,0,0,3.2,46.1,0.3,0,2.2,2.2,8,9.6
"Jaylen Waddle","MIA",7.5,0.3,1.3,0,3.4,42.2,0.3,0.1,2.1,2.2,7.9,9.6
"Alec Pierce","IND",7.4,0,0,0,2.5,48.1,0.3,0,2,2,7.9,9.1
"Noah Brown","WAS",7.4,0,0,0,3.2,43.9,0.3,0,2.1,2.1,7.8,9.4
"Devaughn Vele","DEN",7.3,0,0,0,3.8,38.4,0.3,0,2.1,2.1,7.5,9.4
"Nick Westbrook-Ikhine","TEN",7.1,0,0,0,2.8,30,0.5,0,1.6,1.6,7.4,8.8
"Jordan Addison","MIN",7.1,0.5,3.1,0.1,2.6,33,0.3,0.1,1.7,1.8,7.3,8.6
"Elijah Moore","CLE",7.1,0,0,0,4.3,38.9,0.2,0,2.3,2.3,7.2,9.4
"Jalen Tolbert","DAL",7,0,0,0,3.6,35.1,0.3,0,2.1,2.1,7.1,8.9
"Xavier Worthy","KC",7,0.5,4,0,2.1,27.1,0.5,0.2,1.3,1.5,7.2,8.2
"Diontae Johnson","BAL",7,0,0,0,3.1,39.8,0.3,0,2,2,7.3,8.9
"Joshua Palmer","LAC",7,0,0,0,2.3,48.3,0.2,0,2,2,7.2,8.3
"Demarcus Robinson","LAR",6.9,0,0,0,2.2,37,0.4,0,1.6,1.6,7.2,8.3
"Marquez Valdes-Scantling","NO",6.8,0,0,0,1.9,42.6,0.3,0,1.7,1.7,7,8
"Demario Douglas","NE",6.8,0.2,1.3,0,3.7,39.3,0.2,0.1,2.1,2.2,7.1,9
"Kayshon Boutte","NE",6.7,0,0,0,2.5,40.7,0.3,0,1.8,1.8,7.1,8.4
"Rome Odunze","CHI",6.6,0.3,1.6,0,2.8,42.2,0.2,0.1,1.9,2,7,8.4
"Christian Watson","GB",6.5,0,0,0,2.5,34.6,0.3,0,1.6,1.6,6.5,7.8
"Mike Williams","PIT",6.2,0,0,0,2.5,40.1,0.2,0,1.7,1.7,6.5,7.7
"Mack Hollins","BUF",5.4,0,0,0,1.7,25.1,0.4,0,1.2,1.2,5.8,6.6
"JuJu Smith-Schuster","KC",5.3,0,0,0,2.6,30,0.2,0,1.5,1.5,5.5,6.8
"Ray-Ray McCloud","ATL",5.1,0.7,5.7,0,2.7,24.3,0.2,0.2,1.4,1.6,5.6,6.9
"Gabe Davis","JAC",5,0,0,0,2.2,23.9,0.3,0,1.2,1.2,5.3,6.4
"Michael Pittman Jr","IND",4.9,0,0,0,2.6,24.7,0.2,0,1.4,1.4,5,6.3
"Tre Tucker","LV",4.8,0.3,1.8,0,2.2,26,0.2,0.1,1.3,1.4,5.1,6.2
"Kalif Raymond","DET",4.8,0,0,0,1.9,22.2,0.3,0,1.1,1.1,5,5.9
"Tyler Boyd","TEN",4.7,0,0,0,2.8,25.3,0.2,0,1.4,1.4,5.1,6.5
"DJ Turner","LV",4.6,0,0,0,2.3,24.4,0.2,0,1.2,1.2,4.8,5.9
