"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfWRProjection","astroFullWRProjection"
"Mason Tipton","NO",4.4,0,0,0,2.2,25,0.2,0,1.3,1.3,4.8,5.9
"KaVontae Turpin","DAL",4.4,0.5,3.8,0,2.2,20.2,0.2,0.1,1.1,1.2,4.7,5.8
"LilJordan Humphrey","DEN",4.3,0,0,0,2.2,19.6,0.3,0,1.2,1.2,4.9,6
"Calvin Austin III","PIT",4.2,0,0,0,1.1,27.8,0.2,0,1,1,4.5,5.1
"Jalen Nailor","MIN",4,0,0,0,1.3,15.5,0.3,0,0.7,0.7,4,4.6
"Olamide Zaccheaus","WAS",3.8,0,0,0,2,19.7,0.2,0,1,1,4.2,5.2
"Parker Washington","JAC",3.5,0,0,0,1.3,20.6,0.2,0,0.9,0.9,3.9,4.6
"Andrei Iosivas","CIN",3.4,0,0,0,1.5,10.8,0.3,0,0.8,0.8,3.6,4.4
"Jahan Dotson","PHI",2.9,0.3,2.3,0,1.5,16.1,0.1,0.1,0.8,0.9,3.2,3.9
"John Metchie","HOU",2.6,0,0,0,2,13.2,0.1,0,0.9,0.9,2.9,3.9
"Xavier Gipson","NYJ",2.6,0,0,0,0.8,12,0.2,0,0.6,0.6,2.8,3.2
"Dante Pettis","NO",2.5,0,0,0,1.3,10,0.2,0,0.7,0.7,2.9,3.5
"JaLynn Polk","NE",2.5,0,0,0,1.1,9.1,0.2,0,0.6,0.6,2.7,3.2
"Odell Beckham","MIA",2.1,0,0,0,1,8.4,0.2,0,0.6,0.6,2.5,3
