"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfRBProjection","astroFullRBProjection"
"Dare Ogunbowale","HOU",3.6,2.1,7.1,0.1,1.5,14.5,0.1,0.4,0.7,1.1,4.1,4.9
"Blake Corum","LAR",3.6,4.7,17.6,0.3,0.3,2.3,0.1,0.9,0.1,1,4.5,4.7
"Ty Johnson",,3.5,,,,,,,,,,,
"Khalil Herbert","CIN",3.1,4.1,18.4,0.2,0,0,0.1,0.9,0,0.9,3.6,3.6
"Antonio Gibson","NE",3,2.3,10.8,0.1,1.1,8.1,0.1,0.6,0.4,1,3.6,4.2
"Tyler Goodson","IND",2.9,0.5,2.8,0.2,0.8,10.1,0.1,0.1,0.5,0.6,3.5,3.9
"Kenneth Gainwell","PHI",2.5,1.6,8.5,0.1,1,4.8,0.1,0.4,0.2,0.6,3,3.5
"Ameer Abdullah",,2.2,,,,,,,,,,,
"Cordarrelle Patterson",,2.1,,,,,,,,,,,
"Trey Sermon",,2,,,,,,,,,,,
"JaMycal Hasty",,2,,,,,,,,,,,
"Hunter Luepke",,1.4,,,,,,,,,,,
"Jaleel McLaughlin",,1.4,,,,,,,,,,,
"Chris Brooks",,1.2,,,,,,,,,,,
"Keaton Mitchell",,1.1,,,,,,,,,,,
"Carson Steele",,0.9,,,,,,,,,,,
"Alec Ingold",,0.8,,,,,,,,,,,
"Isaac Guerendo",,0.8,,,,,,,,,,,
"Pierre Strong Jr",,0.7,,,,,,,,,,,
"Ty Chandler",,0.6,,,,,,,,,,,
"Trayveon Williams",,0.5,,,,,,,,,,,
"Jeremy McNichols",,0.4,,,,,,,,,,,
"Isaiah Davis",,0.3,,,,,,,,,,,
"Julius Chestnut",,0.2,,,,,,,,,,,
"Hassan Haskins",,0.2,,,,,,,,,,,
"Will Shipley",,0.2,,,,,,,,,,,
