"name","team","appFullProjectedPoints","appProjPassAttempts","appProjCompletions","appProjPassingYards","appProjPassTDs","appProjINTs","appProjQBRushAttempts","appProjQBRushYards","appProjQBRushTDs","astroQBProjection","astroSixPtTDQBProjection"
"Jalen Hurts","PHI",21.2,32.1,20.3,228.6,1.2,0.7,9.5,44.3,0.5,20,22.4
"Joe Burrow","CIN",19.4,39.5,26.1,266.6,1.8,0.4,4.6,16.2,0.1,19.3,22.9
"Josh Allen","BUF",18.7,32.1,20.6,224.8,1.4,0.9,6.8,28.2,0.4,18,20.8
"Bo Nix","DEN",18.5,34.5,21.2,199.6,1.2,0.7,6.3,33.6,0.4,17.1,19.5
"Aaron Rodgers","NYJ",18.4,44.5,29,270.5,2,0.8,2,7.5,0.1,18.6,22.6
"Russell Wilson","PIT",18.3,34.2,20.9,259.9,1.2,0.5,4.1,17.2,0.3,17.7,20.1
"Justin Herbert","LAC",18.3,34.4,21.8,246.1,1.5,0.2,4.1,17.4,0.1,17.8,20.8
"Jayden Daniels","WAS",18.3,32.3,20.3,221.1,1.1,0.7,8.2,39.1,0.3,17.6,19.8
"Lamar Jackson","BAL",17.6,29.7,18.4,211.6,1.3,0.8,6.8,34.1,0.3,17.3,19.9
"Anthony Richardson","IND",17.5,31.2,15.7,210.7,1,1,9.3,55,0.4,18.3,20.3
"Patrick Mahomes","KC",17.5,37.7,24.8,254.9,1.4,0.9,3.5,20.4,0.2,17.2,20
"Brock Purdy","SF",17.1,31.1,20.3,220,1.5,0.6,3.5,14.1,0.2,16.2,19.2
"Tua Tagovailoa","MIA",16.4,34.6,23,251.9,1.5,0.8,3.8,12.3,0.1,16.3,19.3
"Sam Darnold","MIN",16.4,33.2,21.3,226.7,1.5,0.6,5.5,17.8,0.1,16.2,19.2
"Geno Smith","SEA",16.4,39.1,25.4,247.4,1.4,1,3.4,16.1,0.2,16.3,19.1
"Kirk Cousins","ATL",16.4,40.5,25.8,286.8,1.5,0.6,0.5,2.2,0.1,17.1,20.1
"Jordan Love","GB",15.7,30.3,18.8,218.7,1.8,0.6,0.9,3.2,0.1,15.7,19.3
"C.J. Stroud","HOU",15.5,32.4,21.2,212.7,1.5,0.7,2.3,9.7,0.1,14.7,17.7
"Jared Goff","DET",15.4,30.8,20.4,223.7,1.6,0.7,1.2,2.6,0.2,15.4,18.6
"Jameis Winston","CLE",15.1,34,21.3,226.7,1.2,1,5.9,20,0.1,14.5,16.9
"Caleb Williams","CHI",15.1,35.1,22,217.9,1,0.9,6.8,31.5,0.1,14.7,16.7
"Matthew Stafford","LAR",15.1,35.1,22.9,240.4,1.4,0.7,1.1,4.3,0.1,14.8,17.6
"Drake Maye","NE",14.7,29.3,17.5,181.1,0.9,0.9,8.1,40.6,0.3,14.9,16.7
"Derek Carr","NO",14.4,33.4,21.2,226,1.4,0.7,1.9,6.9,0.1,14.5,17.3
"Mac Jones","JAC",13.6,35.5,22.4,202.7,1.1,1,4.5,18,0.2,13.5,15.7
"Will Levis","TEN",13.3,30.1,18.8,185.8,0.9,0.8,5.3,24.5,0.2,13.1,14.9
"Gardner Minshew","LV",12.6,33.6,21.5,212.8,1,0.7,2.4,6.3,0.1,12.3,14.3
"Cooper Rush","DAL",11.2,37,24,189.7,1.2,1,0.5,2.5,0.1,11.2,13.6
