"Rank","Player","Position","Team","Drafts","ADP","PosADP","RVRank","RVPosRk","Earliest","Latest","StdDev"
1,"Patrick Mahomes","QB","KC",36,1.06,1,4,3,1,2,0.23
2,"Josh Allen","QB","BUF",36,2.5,2,1,1,2,4,0.7
3,"Kyler Murray","QB","ARI",36,3.28,3,18,9,2,6,0.81
4,"Christian McCaffrey","RB","CAR",36,4.56,1,23,5,1,11,2.42
5,"Justin Herbert","QB","LAC",36,6.19,4,17,8,3,10,1.51
5,"Lamar Jackson","QB","BAL",36,6.19,4,8,5,3,9,1.56
7,"Dak Prescott","QB","DAL",37,6.22,6,39,14,2,10,1.84
8,"Trevor Lawrence","QB","JAC",37,9.32,7,52,15,4,22,3.58
9,"Jonathan Taylor","RB","IND",37,9.68,2,38,7,5,16,2.24
10,"Joe Burrow","QB","CIN",37,11.65,8,16,7,7,19,3.15
11,"Dalvin Cook","RB","MIN",36,11.81,3,177,53,5,18,3.54
12,"Justin Jefferson","WR","MIN",37,14.27,1,3,1,7,26,4.23
13,"Saquon Barkley","RB","NYG",37,14.57,4,57,11,5,34,5.28
14,"Russell Wilson","QB","SEA",37,16.76,9,135,28,8,31,5.28
15,"Alvin Kamara","RB","NO",37,17.24,5,90,23,8,29,5.28
16,"Kyle Pitts","TE","ATL",37,17.95,1,61,6,6,31,5.36
17,"A.J. Brown","WR","TEN",37,18.3,2,22,7,6,26,4.55
18,"Najee Harris","RB","PIT",37,19.11,6,78,18,11,29,4.93
18,"Trey Lance","QB","SF",37,19.11,10,197,37,10,34,6.13
20,"DK Metcalf","WR","SEA",37,20.32,3,45,21,12,35,5.36
21,"Travis Kelce","TE","KC",37,22.3,2,80,9,8,34,6.54
22,"Tyreek Hill","WR","KC",37,22.51,4,27,10,9,35,4.65
23,"CeeDee Lamb","WR","DAL",37,23.76,5,6,3,11,41,6.25
24,"Justin Fields","QB","CHI",37,24.84,11,20,10,11,46,7.01
25,"Ja'Marr Chase","WR","CIN",37,26.46,6,5,2,12,39,6.88
26,"Antonio Gibson","RB","WAS",37,27,7,140,39,12,38,6.88
27,"George Kittle","TE","SF",37,28.3,3,67,8,13,41,5.21
28,"Stefon Diggs","WR","BUF",37,28.86,7,69,30,14,42,6.26
29,"D'Andre Swift","RB","DET",37,29.14,8,76,17,18,42,6.09
30,"Calvin Ridley","WR","ATL",37,30.86,8,91,38,21,45,5.66
31,"Darren Waller","TE","LV",37,32.08,4,175,24,25,42,4.62
32,"Davante Adams","WR","GB",37,33.54,9,65,28,24,43,4.96
33,"Clyde Edwards-Helaire","RB","KC",37,33.97,9,258,78,16,47,6.69
34,"Nick Chubb","RB","CLE",37,34.51,10,105,26,16,51,7.49
35,"Derrick Henry","RB","TEN",37,38.32,11,107,28,14,60,10.94
36,"DeAndre Hopkins","WR","ARI",37,41,10,118,45,30,55,5.56
37,"Ezekiel Elliott","RB","DAL",38,42.11,12,215,65,24,59,7.97
38,"Jalen Hurts","QB","PHI",38,42.68,12,2,2,21,64,9.77
39,"J.K. Dobbins","RB","BAL",37,42.89,13,143,42,23,127,22.1
40,"Terry McLaurin","WR","WAS",38,43.68,11,68,29,30,57,6.58
41,"Deshaun Watson","QB","HOU",37,44.05,13,60,18,20,129,21.23
42,"Javonte Williams","RB","DEN",38,44.42,14,82,20,28,57,7.03
43,"Joe Mixon","RB","CIN",38,46.71,15,112,31,33,61,5.73
44,"T.J. Hockenson","TE","DET",38,46.74,5,47,3,33,64,7.47
45,"DJ Moore","WR","CAR",37,47.7,12,25,9,34,60,6.6
46,"Zach Wilson","QB","NYJ",38,47.95,14,255,41,15,67,11
47,"Matthew Stafford","QB","LAR",38,48.26,15,92,21,31,62,8.13
48,"Travis Etienne","RB","JAC",37,48.51,16,40,8,30,133,24.89
49,"Aaron Jones","RB","GB",38,49.26,17,97,25,29,64,7.14
50,"Austin Ekeler","RB","LAC",38,50.39,18,115,33,35,66,6.96
51,"Ryan Tannehill","QB","TEN",39,50.69,16,183,34,31,77,9.48
52,"Tee Higgins","WR","CIN",39,50.82,13,36,16,32,68,8.89
53,"Aaron Rodgers","QB","GB",38,52.21,17,128,27,4,89,16.59
54,"Brandon Aiyuk","WR","SF",38,53.21,14,29,11,30,71,9.48
55,"Tua Tagovailoa","QB","MIA",38,55.18,18,37,13,31,76,9.49
56,"Chris Godwin","WR","TB",38,55.84,15,86,36,45,66,5.75
57,"Allen Robinson","WR","CHI",38,58.63,16,NA,NA,49,70,5.11
58,"Cam Akers","RB","LAR",37,59.41,19,201,60,12,135,44.5
59,"Mark Andrews","TE","BAL",38,59.76,6,51,4,42,72,6.93
60,"Miles Sanders","RB","PHI",38,61.97,20,139,38,44,79,9.39
61,"DeVonta Smith","WR","PHI",39,62.97,17,35,15,38,78,9.89
62,"Baker Mayfield","QB","CLE",38,63,19,89,20,46,75,6.82
63,"Keenan Allen","WR","LAC",38,63.13,18,70,31,47,74,6.38
64,"Jerry Jeudy","WR","DEN",39,63.97,19,116,43,37,85,11.19
65,"Amari Cooper","WR","DAL",39,64.38,20,88,37,47,75,5.95
66,"David Montgomery","RB","CHI",38,64.55,21,79,19,49,83,7.29
67,"Josh Jacobs","RB","LV",38,65.84,22,66,13,55,88,7.45
68,"Michael Thomas","WR","NO",38,66.13,21,172,67,44,105,18.5
69,"Chase Claypool","WR","PIT",39,67.41,22,248,97,46,91,8.95
70,"Trey Sermon","RB","SF",39,68.79,23,NA,NA,47,84,9.16
71,"Noah Fant","TE","DEN",39,68.85,7,182,25,60,92,6.38
72,"Mike Evans","WR","TB",39,71.82,23,77,33,48,82,6.43
73,"Diontae Johnson","WR","PIT",39,72.87,24,83,34,52,105,9.11
74,"Jaylen Waddle","WR","MIA",39,73.41,25,33,13,61,84,5.92
75,"Tom Brady","QB","TB",39,74.44,20,NA,NA,34,104,15.05
76,"Mac Jones","QB","NE",39,77.56,21,159,31,40,110,15.31
77,"Chris Carson","RB","SEA",39,78.79,24,NA,NA,49,99,10.82
78,"Courtland Sutton","WR","DEN",39,80.33,26,122,47,63,104,7.51
79,"Cooper Kupp","WR","LAR",39,81.51,27,72,32,58,97,7.84
80,"Laviska Shenault","WR","JAC",39,82.9,28,279,109,52,108,11.63
81,"Michael Carter","RB","NYJ",39,83.87,25,NA,NA,64,108,10.06
82,"Dallas Goedert","TE","PHI",39,85.13,8,102,13,62,126,12.4
83,"Robert Woods","WR","LAR",39,85.21,29,295,113,59,108,10.94
84,"Elijah Moore","WR","NYJ",40,85.6,30,149,57,57,127,13.75
85,"Kirk Cousins","QB","MIN",39,85.74,22,73,19,57,117,15.33
86,"Carson Wentz","QB","IND",39,86.26,23,NA,NA,52,136,18.4
87,"Rashod Bateman","WR","BAL",39,88.33,31,150,58,72,121,9.35
88,"Kareem Hunt","RB","CLE",39,88.67,26,221,67,71,103,8.09
89,"Kenny Golladay","WR","NYG",39,89.26,32,NA,NA,69,123,13.35
90,"JuJu Smith-Schuster","WR","PIT",38,90.05,33,229,85,73,111,7.39
90,"Matt Ryan","QB","ATL",39,90.05,24,NA,NA,63,114,11.43
