"Rank","Player","Position","Team","Drafts","ADP","PosADP","RVRank","RVPosRk","Earliest","Latest","StdDev"
82,"Rachaad White","RB","TB",70,81.94,19,63,12,48,102,10.49
83,"Aaron Rodgers","QB","NYJ",70,82.5,23,128,27,52,132,14.55
84,"Derek Carr","QB","NO",70,82.61,24,103,23,47,122,14.51
85,"Marquise Brown","WR","ARI",70,83.13,35,120,46,62,100,9.01
86,"Pat Freiermuth","TE","PIT",70,85.44,8,101,12,64,110,10.23
87,"Amari Cooper","WR","CLE",70,86.71,36,88,37,52,102,7.75
88,"D'Andre Swift","RB","PHI",70,88.77,20,76,17,64,123,12.77
89,"Christian Kirk","WR","JAC",70,89.36,37,94,40,76,109,6.6
90,"Miles Sanders","RB","CAR",70,91.27,21,139,38,77,118,8.32
91,"Trey Lance","QB","SF",66,93.44,25,197,37,19,212,43.46
92,"Brock Purdy","QB","SF",70,94.39,26,26,11,63,177,18.56
93,"Joe Mixon","RB","CIN",70,94.81,22,112,31,62,133,13.4
94,"Cam Akers","RB","LAR",70,95.89,23,201,60,70,128,8.21
95,"Zach Charbonnet","RB","SEA",70,97.47,24,125,35,62,122,10.34
96,"James Cook","RB","BUF",70,99.3,25,56,10,69,130,12.29
97,"Rashod Bateman","WR","BAL",70,99.61,38,150,58,81,147,11.84
98,"Darren Waller","TE","NYG",70,100.44,9,175,24,73,140,14.52
99,"Aaron Jones","RB","GB",70,101.31,26,97,25,73,121,9.98
100,"Keenan Allen","WR","LAC",70,101.5,39,70,31,67,142,12.78
101,"Mac Jones","QB","NE",70,104.87,27,159,31,58,136,14.23
102,"Michael Mayer","TE","LV",70,105.5,10,111,15,76,135,11.84
103,"De'Von Achane","RB","MIA",37,105.51,27,NA,NA,86,125,10.93
104,"DeAndre Hopkins","WR","ARI",70,106.23,40,118,45,92,141,9.75
105,"Elijah Moore","WR","CLE",70,107.44,41,149,57,76,139,11.94
106,"Isiah Pacheco","RB","KC",70,108.76,28,74,15,84,134,9.97
107,"Kadarius Toney","WR","KC",70,109.76,42,207,77,83,144,14.84
108,"Mike Williams","WR","LAC",70,110.01,43,137,56,90,137,10.67
109,"David Montgomery","RB","DET",70,110.36,29,79,19,88,136,10.6
110,"Sam Howell","QB","WAS",70,110.5,28,126,26,84,170,15.26
111,"Will Levis","QB","FA",68,111.34,29,114,25,46,197,37.73
112,"Desmond Ridder","QB","ATL",70,111.36,30,184,35,77,186,15.53
113,"Devon Achane","RB","MIA",33,111.76,30,21,4,93,142,11.64
114,"Sam LaPorta","TE","DET",70,112.19,11,15,1,78,215,25.55
115,"Alexander Mattison","RB","MIN",70,112.2,31,157,47,79,158,19.09
116,"Greg Dulcich","TE","DEN",70,115.16,12,158,21,86,156,13.24
117,"Kendre Miller","RB","NO",70,115.77,32,119,34,95,142,12.3
118,"David Njoku","TE","CLE",70,117.2,13,81,10,88,151,11.48
119,"Marvin Mims","WR","DEN",70,117.47,44,100,42,86,138,11.7
120,"Matthew Stafford","QB","LAR",70,118.79,31,92,21,88,182,14.25
121,"Mike Evans","WR","TB",70,120.11,45,77,33,65,145,11.94
122,"Jonathan Mingo","WR","CAR",70,121.61,46,166,62,78,186,18.74
123,"Dalvin Cook","RB","MIN",70,121.7,33,177,53,92,160,13.48
124,"Evan Engram","TE","JAC",70,123.91,14,64,7,102,151,10.8
125,"Gabriel Davis","WR","BUF",70,124.04,47,NA,NA,88,155,12.74
126,"Chigoziem Okonkwo","TE","TEN",70,124.37,15,154,20,89,149,11.97
127,"Skyy Moore","WR","KC",70,125.61,48,203,76,81,154,16.88
128,"Roschon Johnson","RB","CHI",70,127.49,34,113,32,106,147,9.02
129,"Alvin Kamara","RB","NO",70,127.61,35,90,23,87,152,13.14
130,"AJ Dillon","RB","GB",70,130.99,36,162,50,111,150,8.71
131,"Rashee Rice","WR","KC",70,131.59,49,41,17,99,198,19.18
132,"Tyjae Spears","RB","TEN",70,131.79,37,71,14,101,159,11.15
133,"Tyler Lockett","WR","SEA",70,131.81,50,123,48,97,153,11.03
134,"James Conner","RB","ARI",70,132.57,38,108,29,103,156,11.87
135,"Jalin Hyatt","WR","NYG",70,133.94,51,117,44,66,175,19.58
136,"Courtland Sutton","WR","DEN",70,134.04,52,122,47,95,166,13.57
137,"Brian Robinson","RB","WAS",70,134.99,39,96,24,110,156,10.8
138,"Antonio Gibson","RB","WAS",70,135.44,40,140,39,108,164,10.99
139,"Josh Downs","WR","IND",70,136.16,53,93,39,95,182,18.27
140,"Khalil Herbert","RB","CHI",70,137.14,41,138,37,94,158,11.65
141,"Jimmy Garoppolo","QB","LV",70,137.41,32,180,32,95,194,20.81
142,"Tank Bigsby","RB","JAC",70,138.33,42,153,46,100,158,10.33
142,"Trey McBride","TE","ARI",70,138.33,16,28,2,108,166,13.88
144,"Jayden Reed","WR","GB",70,138.57,54,62,27,102,211,19.52
145,"Brandin Cooks","WR","DAL",70,140.06,55,169,65,122,169,10.41
146,"Dalton Schultz","TE","HOU",70,140.91,17,145,17,118,164,12.66
147,"Cole Kmet","TE","CHI",70,144.14,18,98,11,113,165,10.72
148,"JuJu Smith-Schuster","WR","NE",70,145.99,56,229,85,113,168,10.32
149,"Luke Musgrave","TE","GB",70,146.71,19,104,14,111,186,16.29
150,"Jakobi Meyers","WR","LV",70,150.61,57,134,55,129,173,9.33
